ADD_MIRROR_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,4442,1375,132,29,14,6,2,,Key
cyl Total,2000,1697,267,25,4,4,2,1,,bucket_0:         x >= -0.1%
spv Total,2000,1602,356,26,9,4,3,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1143,752,81,16,6,1,1,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,161,59,15,3,4,2,1,,bucket_5:   -4% > x >= -5%
spv,,99,87,18,8,4,3,0,,bucket_6:   -5% > x
sal,,22,439,70,16,6,1,1,,
cyl_spv,,453,42,3,1,0,0,0,,
cyl_sal,,71,86,6,0,0,0,0,,
spv_sal,,38,147,4,0,0,0,0,,
cyl_spv_sal,,1012,80,1,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,38,11,5,6,3,1,,
spv,,0,71,21,13,6,3,0,,
sal,,0,453,81,19,8,2,1,,
cyl_spv,,0,22,8,2,1,0,0,,
cyl_sal,,0,99,11,4,0,0,0,,
spv_sal,,0,161,7,1,0,0,0,,
cyl_spv_sal,,2000,144,6,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.39309243088293144,-0.007630345090604504,-0.30473212477887524,-1.3599888777873612,-2.348575171383162,-3.4474176167044037,-4.185830047783556,-6.139079271920495,,
Avg accuracy % Loss cyl,-0.08238027829288956,-0.007282029885791267,-0.2900953974734217,-1.438897096136086,-2.4783367178937503,-3.4670287747834316,-4.14795215882231,-6.897687052432289,,
Avg accuracy % Loss spv,-0.09228766229080403,-0.00023690191024376106,-0.28172421165781064,-1.3283373110395646,-2.4571569508345465,-3.6350365170687073,-4.236886552800975,0,,
Avg accuracy % Loss sal,-0.21842449029923916,-0.01850994865797635,-0.32082098549916044,-1.3457942515740844,-2.2550575338141132,-3.3092642444088494,-4.108416310653795,-5.3804714914087,,
Min accuracy % Loss,-6.897687052432289,-0.09978515644886166,-0.9974321798522201,-1.9999822932067923,-2.7707000995562114,-3.980957470063884,-4.377476347506826,-6.897687052432289,,
Min accuracy % Loss cyl,-6.897687052432289,-0.09978515644886166,-0.9974321798522201,-1.968702675416456,-2.7596770854895536,-3.803206526128744,-4.174812816419227,-6.897687052432289,,
Min accuracy % Loss spv,-4.377476347506826,-0.09969500088711225,-0.959385992964501,-1.8944923689449222,-2.7707000995562114,-3.980957470063884,-4.377476347506826,-,,
Min accuracy % Loss sal,-5.3804714914087,-0.09947398158538512,-0.9970836931197935,-1.9999822932067923,-2.725613802256144,-3.492032868255124,-4.108416310653795,-5.3804714914087,,
Max accuracy % Loss,5.549331971466698,5.549331971466698,-0.10002053993231064,-1.0003616755441591,-2.0000980440217697,-3.045035604153956,-4.051035657469749,-5.3804714914087,,
Max accuracy % Loss cyl,2.168802797597791,2.168802797597791,-0.10002053993231064,-1.019124924463899,-2.115047494802069,-3.0642005390039473,-4.1210915012253935,-6.897687052432289,,
Max accuracy % Loss spv,5.549331971466698,5.549331971466698,-0.10013175230566551,-1.0029573299535244,-2.0800545588081087,-3.358677330272919,-4.051035657469749,-,,
Max accuracy % Loss sal,4.4920477565622114,4.4920477565622114,-0.10003607858571906,-1.0003616755441591,-2.0000980440217697,-3.045035604153956,-4.108416310653795,-5.3804714914087,,
,,,,,,,,,,
Min Points Affected,20,20,36,1435,1420,2974,4179,17378,,
Max Points Affected,46874,46874,34659,34659,29628,21065,21350,46874,,
Avg Points Affected,10291.3575,2291.8930661864024,5986.913454545454,11711.113636363636,11560.0,11089.785714285714,11584.0,32126.0,,
,,,,,,,,,,
Min Seconds,0.3005643379983667,0.3005643379983667,0.3275171169952955,1.0564513599965721,1.1932213319996663,1.5946858269999211,3.4050792069974705,4.138604069004941,,
Max Seconds,152.43265766099648,152.43265766099648,134.88516151600197,47.709672324002895,5.800943835998623,5.800943835998623,4.769091971000307,5.5376892810018035,,
Avg Seconds,6.460321343701366,1.77943130228002,3.0717075537373972,4.511969238552741,3.842850352310177,3.735570214928365,3.969013370166673,4.838146675003372,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:16:45,,,,,,,,,
,,,,,,,,,,
