ADD_MIRROR_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,3267,2039,309,128,69,66,122,,Key
cyl Total,2000,1305,547,77,30,13,6,22,,bucket_0:         x >= -0.1%
spv Total,2000,1308,524,55,35,24,21,33,,bucket_1: -0.1% > x >= -1%
sal Total,2000,654,968,177,63,32,39,67,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,247,178,50,19,10,4,14,,bucket_5:   -4% > x >= -5%
spv,,241,147,36,29,15,18,16,,bucket_6:   -5% > x
sal,,39,491,144,55,26,34,46,,
cyl_spv,,529,77,5,4,3,0,2,,
cyl_sal,,77,177,19,6,0,2,6,,
spv_sal,,86,185,11,1,6,3,15,,
cyl_spv_sal,,452,115,3,1,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,86,55,30,19,16,14,,
spv,,0,77,57,49,31,26,16,,
sal,,0,529,218,119,81,72,46,,
cyl_spv,,0,39,7,6,3,2,2,,
cyl_sal,,0,241,56,24,13,8,6,,
spv_sal,,0,247,74,47,38,24,15,,
cyl_spv_sal,,2000,329,30,11,6,2,0,,
,,,,,,,,,,
Avg jaccard % Loss,-1.279767251610492,0.058855104378689495,-0.3690171043542739,-1.3992954157856148,-2.458304573132703,-3.4941709971760693,-4.538137435079575,-5.833837008923535,,
Avg jaccard % Loss cyl,-0.2533006147043458,0.046111442670533076,-0.33239894980699,-1.4292281005188596,-2.440723687407661,-3.4073643353467684,-4.37309191860977,-5.9612670143620425,,
Avg jaccard % Loss spv,-0.31008375790992737,0.06677283810840577,-0.32490826737022094,-1.4011610710014732,-2.509580263635719,-3.6282786907727806,-4.593135565274748,-5.721840981272907,,
Avg jaccard % Loss sal,-0.7163828789962267,0.06844850317177154,-0.41358648567349626,-1.3856941289984288,-2.438189928754062,-3.4288554333466896,-4.533914675200606,-5.847156543144784,,
Min jaccard % Loss,-9.345802904199946,-0.0996696947368314,-0.9976304869311337,-1.9913540043812905,-2.9973096934668817,-3.9578878893819724,-4.983955172370869,-9.345802904199946,,
Min jaccard % Loss cyl,-8.057861755799516,-0.09958008808936825,-0.9976304869311337,-1.9859642203603478,-2.8770903761241695,-3.8809118539168628,-4.679550231843487,-8.057861755799516,,
Min jaccard % Loss spv,-7.820844917986602,-0.09919627773459783,-0.9838422908072242,-1.9299965757867077,-2.9949326299438637,-3.9578878893819724,-4.95567622514535,-7.820844917986602,,
Min jaccard % Loss sal,-9.345802904199946,-0.0996696947368314,-0.9969608163421184,-1.9913540043812905,-2.9973096934668817,-3.9541540012955902,-4.983955172370869,-9.345802904199946,,
Max jaccard % Loss,5.110864759396069,5.110864759396069,-0.10007544451100525,-1.0013375722264461,-2.014550937794213,-3.000599193538828,-4.019326491616848,-5.019016362769491,,
Max jaccard % Loss cyl,5.083850027469561,5.083850027469561,-0.10015561725452149,-1.0024406947127251,-2.014550937794213,-3.001049007953349,-4.0939796077978485,-5.059221651886247,,
Max jaccard % Loss spv,5.110864759396069,5.110864759396069,-0.10007544451100525,-1.0272166176512665,-2.0384196271866273,-3.105979523389041,-4.035777922291755,-5.019016362769491,,
Max jaccard % Loss sal,4.810671780446069,4.810671780446069,-0.10017296855867608,-1.0013375722264461,-2.023292063850768,-3.000599193538828,-4.019326491616848,-5.031906081451265,,
,,,,,,,,,,
Min Points Affected,20,20,34,32,39,58,38,32,,
Max Points Affected,46874,46874,34659,46874,34659,21350,19734,34659,,
Avg Points Affected,10291.3575,2818.2105907560453,4011.4806277587054,5508.9320388349515,5287.125,5035.376811594203,2521.5,2486.3934426229507,,
,,,,,,,,,,
Min Seconds,0.3005643379983667,0.3005643379983667,0.3005643379983667,0.3235580129985465,0.3822825390016078,0.39157344599516364,0.3235580129985465,0.3235580129985465,,
Max Seconds,152.43265766099648,152.43265766099648,98.32029598900044,32.20629932599695,78.37016768000103,8.178544923001027,4.713242118999915,8.625345011998434,,
Avg Seconds,6.460321343701366,1.980961079835551,2.3716329255727993,2.3692488895307955,3.5648380148828664,2.236483247956895,1.3909675072421426,1.4636469834427681,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:16:45,,,,,,,,,
,,,,,,,,,,
