ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,4553,1299,110,23,8,3,4,,Key
cyl Total,2000,1710,265,20,4,1,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1661,301,25,5,3,2,3,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1182,733,65,14,4,1,1,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,118,53,8,2,1,0,0,,bucket_5:   -4% > x >= -5%
spv,,103,80,18,4,3,2,2,,bucket_6:   -5% > x
sal,,19,457,58,13,4,1,0,,
cyl_spv,,465,40,5,1,0,0,0,,
cyl_sal,,70,95,5,1,0,0,0,,
spv_sal,,36,104,0,0,0,0,1,,
cyl_spv_sal,,1057,77,2,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,36,6,1,1,0,0,,
spv,,0,70,20,8,7,4,2,,
sal,,0,465,69,15,5,1,0,,
cyl_spv,,0,19,6,2,0,0,0,,
cyl_sal,,0,103,4,2,0,0,0,,
spv_sal,,0,118,3,3,1,1,1,,
cyl_spv_sal,,2000,132,9,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.3474822015948668,-0.004367125052261678,-0.3051199971790535,-1.3549958308524404,-2.3173390218246697,-3.3831008331819405,-4.454263398395812,-8.988517683704455,,
Avg accuracy % Loss cyl,-0.06195503791505529,-0.002415177001521219,-0.29660297621634985,-1.4360563296018922,-2.30771485246645,-3.228348458272956,0,0,,
Avg accuracy % Loss spv,-0.08856885069366156,-0.005059754662902836,-0.2591328885282822,-1.354758645434033,-2.164396336361021,-3.4607705501229007,-4.265124437414614,-9.04364703412498,,
Avg accuracy % Loss sal,-0.19695831298615035,-0.00621769475064679,-0.3270833399607711,-1.330145364090458,-2.3747111721640364,-3.363536639203465,-4.832541320358208,-8.823129632442884,,
Min accuracy % Loss,-14.140194612573854,-0.09992154919691298,-0.9947907914636289,-1.9737754960455156,-2.9068304835790926,-3.7550664632817643,-4.832541320358208,-14.140194612573854,,
Min accuracy % Loss cyl,-3.228348458272956,-0.09976003666856137,-0.9947907914636289,-1.9667892837312628,-2.4284108864460197,-3.228348458272956,-,-,,
Min accuracy % Loss spv,-14.140194612573854,-0.09992154919691298,-0.9824937477670659,-1.9737754960455156,-2.439616879511386,-3.7550664632817643,-4.380946153594667,-14.140194612573854,,
Min accuracy % Loss sal,-8.823129632442884,-0.09952788056654116,-0.9728880806744833,-1.872546311410228,-2.9068304835790926,-3.478908230098121,-4.832541320358208,-8.823129632442884,,
Max accuracy % Loss,11.425857590760458,11.425857590760458,-0.10011908902167743,-1.0010325335573445,-2.0065975011537063,-3.128786317741594,-4.149302721234561,-6.358073538975029,,
Max accuracy % Loss cyl,1.6012777459251448,1.6012777459251448,-0.10016878835202858,-1.0016910466932205,-2.0065975011537063,-3.228348458272956,-,-,,
Max accuracy % Loss spv,4.331231059054796,4.331231059054796,-0.10011908902167743,-1.0107369531555666,-2.026781872030925,-3.128786317741594,-4.149302721234561,-6.358073538975029,,
Max accuracy % Loss sal,11.425857590760458,11.425857590760458,-0.10036016348994314,-1.0010325335573445,-2.0351545733398924,-3.1781865789385244,-4.832541320358208,-8.823129632442884,,
,,,,,,,,,,
Min Points Affected,22,22,50,496,862,8816,3717,10377,,
Max Points Affected,60274,60274,40991,40991,19787,19530,29361,50168,,
Avg Points Affected,9789.7215,2153.7129365253677,6173.789068514242,11211.645454545454,10453.04347826087,12527.625,12459.333333333334,35634.0,,
,,,,,,,,,,
Min Seconds,0.2946042399998987,0.2946042399998987,0.3260599140012346,0.7589367219989072,1.1788100260018837,3.827837961998739,3.556706714000029,4.339714931000344,,
Max Seconds,142.03599624100025,118.42254102899824,142.03599624100025,142.03599624100025,8.157771615002275,8.157771615002275,59.112548588997015,6.296510454001691,,
Avg Seconds,6.654119923044075,1.7871843323738512,3.33449792126403,5.6185622845183385,4.036240448826309,5.0106882350005435,22.208832474999024,5.522349035751176,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:19:07,,,,,,,,,
,,,,,,,,,,
