ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,3368,1955,316,115,72,56,118,,Key
cyl Total,2000,1310,545,75,29,12,14,15,,bucket_0:         x >= -0.1%
spv Total,2000,1401,457,51,24,17,21,29,,bucket_1: -0.1% > x >= -1%
sal Total,2000,657,953,190,62,43,21,74,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,210,154,53,22,10,13,7,,bucket_5:   -4% > x >= -5%
spv,,281,114,36,20,15,18,13,,bucket_6:   -5% > x
sal,,35,502,168,56,39,17,55,,
cyl_spv,,560,81,7,2,0,0,1,,
cyl_sal,,62,189,14,4,2,1,4,,
spv_sal,,82,141,7,1,2,3,12,,
cyl_spv_sal,,478,121,1,1,0,0,3,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,82,51,31,18,13,7,,
spv,,0,62,38,29,24,21,13,,
sal,,0,560,252,122,85,60,55,,
cyl_spv,,0,35,11,3,2,1,1,,
cyl_sal,,0,281,45,19,12,7,4,,
spv_sal,,0,210,55,42,32,20,12,,
cyl_spv_sal,,2000,292,38,17,9,8,3,,
,,,,,,,,,,
Avg jaccard % Loss,-1.217081257636679,0.058349958479942066,-0.3636516827592627,-1.3894784301307732,-2.452532945525416,-3.472191612425041,-4.485934761304543,-5.910334917415488,,
Avg jaccard % Loss cyl,-0.23542824391450543,0.05697958268740383,-0.32164721459163864,-1.4069856330312691,-2.4166968479580215,-3.4614320550207474,-4.374542850022537,-6.120872904558316,,
Avg jaccard % Loss spv,-0.2627329246576358,0.05717034983669541,-0.317925725363532,-1.425950412109189,-2.4872832416356125,-3.497020477343238,-4.4938650750766245,-6.00105756679589,,
Avg jaccard % Loss sal,-0.7189200890645322,0.06359778800416294,-0.40960047361047375,-1.372777844349531,-2.455843263635247,-3.4653782167330003,-4.552265721720461,-5.832104827696921,,
Min jaccard % Loss,-9.598241977357846,-0.09995753273878139,-0.999213421956413,-1.9941492275082129,-2.9510419052065417,-3.987813310985816,-4.989233535095256,-9.598241977357846,,
Min jaccard % Loss cyl,-9.526981254875722,-0.09957127092881102,-0.9955103107479379,-1.9941492275082129,-2.8993857095496622,-3.7937200166439644,-4.839338094812373,-9.526981254875722,,
Min jaccard % Loss spv,-8.261711734607946,-0.09995753273878139,-0.996144008127986,-1.9766416158684907,-2.898596869845993,-3.9790315410271893,-4.934169109719616,-8.261711734607946,,
Min jaccard % Loss sal,-9.598241977357846,-0.09944406906888803,-0.999213421956413,-1.9846446187302413,-2.9510419052065417,-3.987813310985816,-4.989233535095256,-9.598241977357846,,
Max jaccard % Loss,5.299686346585131,5.299686346585131,-0.10000660541051865,-1.0006873950417883,-2.0013059761190166,-3.004456921197968,-4.028324770668079,-5.006499524826902,,
Max jaccard % Loss cyl,4.476717387518558,4.476717387518558,-0.10002096944471961,-1.0006873950417883,-2.0288100662655406,-3.1839839309176163,-4.0527135569072446,-5.030709431939845,,
Max jaccard % Loss spv,5.299686346585131,5.299686346585131,-0.10000660541051865,-1.0058924684523352,-2.0013059761190166,-3.006004696809211,-4.028324770668079,-5.0296924529937055,,
Max jaccard % Loss sal,4.7093939587817655,4.7093939587817655,-0.10011490985510907,-1.004267447694096,-2.0145758249905885,-3.004456921197968,-4.038777243434211,-5.006499524826902,,
,,,,,,,,,,
Min Points Affected,22,22,25,33,41,56,40,31,,
Max Points Affected,60274,60274,50168,40991,50168,29361,20310,50168,,
Avg Points Affected,9789.7215,2574.5288004750596,3954.109462915601,5705.854430379747,5446.182608695653,3911.4861111111113,2440.9285714285716,2800.5593220338983,,
,,,,,,,,,,
Min Seconds,0.2946042399998987,0.2946042399998987,0.29884152299928246,0.3079817539983196,0.29884152299928246,0.34820683900034055,0.3207627150004555,0.34820683900034055,,
Max Seconds,142.03599624100025,118.42254102899824,142.03599624100025,59.112548588997015,47.46865986800185,8.157771615002275,5.462645939998765,40.354725379998854,,
Avg Seconds,6.654119923044075,1.9250369112524346,2.6875539227534264,2.639046098329126,2.6667441624523907,1.7632142077775117,1.376420447660621,1.9144279341016646,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:19:07,,,,,,,,,
,,,,,,,,,,
