SCENE_REMOVE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5553,389,29,12,7,3,7,,Key
cyl Total,2000,1820,155,10,6,3,1,5,,bucket_0:         x >= -0.1%
spv Total,2000,1895,94,8,3,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1838,140,11,3,4,2,2,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,21,114,9,6,3,1,5,,bucket_5:   -4% > x >= -5%
spv,,28,50,8,3,0,0,0,,bucket_6:   -5% > x
sal,,26,94,10,3,4,2,2,,
cyl_spv,,102,16,0,0,0,0,0,,
cyl_sal,,47,18,1,0,0,0,0,,
spv_sal,,115,21,0,0,0,0,0,,
cyl_spv_sal,,1650,7,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,115,18,11,8,5,5,,
spv,,0,47,11,3,0,0,0,,
sal,,0,102,15,7,7,3,2,,
cyl_spv,,0,26,0,0,0,0,0,,
cyl_sal,,0,28,7,4,1,1,0,,
spv_sal,,0,21,0,0,0,0,0,,
cyl_spv_sal,,2000,11,0,0,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,0.15657698412121196,0.10250305579289841,-0.284444961907393,-1.4002252586956008,-2.4813858595772733,-3.5571069119392007,-4.492202309690896,-5.233841751973972,,
Avg jaccard % Loss cyl,-0.008002348140033696,0.05556261678024642,-0.3057195897593861,-1.4433807505468292,-2.4214476131931026,-3.495875984711844,-4.228154026568154,-5.21276944841609,,
Avg jaccard % Loss spv,0.0021847529506486287,0.025498816473170653,-0.27377983781426024,-1.353046502470861,-2.463691513684626,0,0,0,,
Avg jaccard % Loss sal,0.16239457931059686,0.22837608762854059,-0.2680517786766473,-1.3953048160852044,-2.6189566982382635,-3.603030107359719,-4.624226451252267,-5.28652251086868,,
Min jaccard % Loss,-5.303690029143898,-0.09999233779167671,-0.9873912144807262,-1.9733864129093504,-2.9780214852687115,-3.9573179065165665,-4.825281241980917,-5.303690029143898,,
Min jaccard % Loss cyl,-5.276314876556909,-0.09941764858202307,-0.9873912144807262,-1.8418061445318379,-2.8079684431957186,-3.9573179065165665,-4.228154026568154,-5.276314876556909,,
Min jaccard % Loss spv,-2.933436626986169,-0.09994398102460833,-0.8458230190042659,-1.9733864129093504,-2.933436626986169,-,-,-,,
Min jaccard % Loss sal,-5.303690029143898,-0.09999233779167671,-0.9474979456073618,-1.8973715501871435,-2.9780214852687115,-3.7411889515021057,-4.825281241980917,-5.303690029143898,,
Max jaccard % Loss,5.031490862581867,5.031490862581867,-0.10023507115000108,-1.0077097611538688,-2.092803584860592,-3.0449616642203026,-4.228154026568154,-5.028231240254749,,
Max jaccard % Loss cyl,3.291801268186312,3.291801268186312,-0.10032464686968723,-1.1705532714837985,-2.092803584860592,-3.0449616642203026,-4.228154026568154,-5.028231240254749,,
Max jaccard % Loss spv,2.9859775856156734,2.9859775856156734,-0.10023507115000108,-1.0236584093637702,-2.1788026251418957,-,-,-,,
Max jaccard % Loss sal,5.031490862581867,5.031490862581867,-0.10526782326888973,-1.0077097611538688,-2.407182437309563,-3.5201150808342794,-4.423171660523617,-5.2693549925934615,,
,,,,,,,,,,
Min Points Affected,25,25,38,51,45,30,38,232,,
Max Points Affected,7350,7350,7350,5994,2174,412,7350,5998,,
Avg Points Affected,1013.223,308.307221321808,671.6658097686376,982.0689655172414,663.0833333333334,210.0,2543.6666666666665,1085.7142857142858,,
,,,,,,,,,,
Min Seconds,0.21275625099951867,0.21275625099951867,0.23521312099182978,0.24734093999722973,0.26856830500037177,0.2685682670053211,0.26284937200398417,0.3042691769951489,,
Max Seconds,83.59646503301337,83.59646503301337,83.59646503301337,83.59646503301337,26.884844909000094,0.3116034859995125,3.25192400800006,2.840559822987416,,
Avg Seconds,1.491792236168174,0.4476386075757875,0.8966484003596918,3.620965352588271,2.7845540627519463,0.290777948287931,1.2747023520011378,0.6812657222825302,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,06:02:25,,,,,,,,,
,,,,,,,,,,
