SIGN_REPLACE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5942,55,3,0,0,0,0,,Key
cyl Total,2000,1957,42,1,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1995,4,1,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1990,9,1,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,1,40,1,0,0,0,0,,bucket_5:   -4% > x >= -5%
spv,,1,3,0,0,0,0,0,,bucket_6:   -5% > x
sal,,1,8,0,0,0,0,0,,
cyl_spv,,8,1,0,0,0,0,0,,
cyl_sal,,3,1,0,0,0,0,0,,
spv_sal,,41,0,1,0,0,0,0,,
cyl_spv_sal,,1945,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,41,1,0,0,0,0,,
spv,,0,3,0,0,0,0,0,,
sal,,0,8,0,0,0,0,0,,
cyl_spv,,0,1,0,0,0,0,0,,
cyl_sal,,0,1,0,0,0,0,0,,
spv_sal,,0,1,1,0,0,0,0,,
cyl_spv_sal,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,0.018148919456819818,0.008797882428947412,-0.20278470555179295,-1.6086732246057538,0,0,0,0,,
Avg accuracy % Loss cyl,-0.001471548215408669,0.003602847954685457,-0.20113232618450266,-1.5463121783876543,0,0,0,0,,
Avg accuracy % Loss spv,0.016713912325025403,0.0181569451732466,-0.23241256439906488,-1.8656307129798821,0,0,0,0,,
Avg accuracy % Loss sal,0.0029065553472030652,0.004524190112994518,-0.1973278720003598,-1.4140767824497247,0,0,0,0,,
Min accuracy % Loss,-1.8656307129798821,-0.09972658295174242,-0.6940155102601042,-1.8656307129798821,-,-,-,-,,
Min accuracy % Loss cyl,-1.5463121783876543,-0.09972658295174242,-0.6940155102601042,-1.5463121783876543,-,-,-,-,,
Min accuracy % Loss spv,-1.8656307129798821,-0.09802572745408744,-0.39174631049272435,-1.8656307129798821,-,-,-,-,,
Min accuracy % Loss sal,-1.4140767824497247,-0.09711989283323064,-0.44518820411398874,-1.4140767824497247,-,-,-,-,,
Max accuracy % Loss,2.0392107214555755,2.0392107214555755,-0.10028883183568205,-1.4140767824497247,-,-,-,-,,
Max accuracy % Loss cyl,1.0513954885575383,1.0513954885575383,-0.1049614468531801,-1.5463121783876543,-,-,-,-,,
Max accuracy % Loss spv,2.0392107214555755,2.0392107214555755,-0.10028883183568205,-1.8656307129798821,-,-,-,-,,
Max accuracy % Loss sal,1.190688283152208,1.190688283152208,-0.10063737001007045,-1.4140767824497247,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,15,15,21,145,-,-,-,-,,
Max Points Affected,3125,3125,1376,1578,-,-,-,-,,
Avg Points Affected,288.468,94.29737462133961,242.1818181818182,1100.3333333333333,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.26385316199593944,0.26385316199593944,0.2880208409987972,0.3175310260048718,-,-,-,-,,
Max Seconds,0.9785437079990515,0.9785437079990515,0.7250989430031041,0.35426167299738154,-,-,-,-,,
Avg Seconds,1.4048196408978038,0.46825623634291336,0.47699401952757564,0.3420181239998783,0,0,0,0,,
,,,,,,,,,,
Duplicates,72,,,,,,,,,
Duplicates Percent,3.5999999999999996,,,,,,,,,
,,,,,,,,,,
Time,00:27:48,,,,,,,,,
,,,,,,,,,,
