SIGN_REPLACE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,4723,1113,104,45,8,3,4,,Key
cyl Total,2000,1526,397,46,26,3,1,1,,bucket_0:         x >= -0.1%
spv Total,2000,1709,251,26,12,0,1,1,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1488,465,32,7,5,1,2,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,48,204,32,22,2,1,1,,bucket_5:   -4% > x >= -5%
spv,,104,104,14,10,0,1,1,,bucket_6:   -5% > x
sal,,64,281,22,3,4,1,2,,
cyl_spv,,280,53,7,1,0,0,0,,
cyl_sal,,99,90,5,3,1,0,0,,
spv_sal,,226,44,3,1,0,0,0,,
cyl_spv_sal,,1099,50,2,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,226,44,25,4,2,1,,
spv,,0,99,14,9,2,2,1,,
sal,,0,280,24,9,7,3,2,,
cyl_spv,,0,64,15,2,0,0,0,,
cyl_sal,,0,104,12,3,1,0,0,,
spv_sal,,0,48,5,2,0,0,0,,
cyl_spv_sal,,2000,80,6,1,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,0.5373662355263572,0.3704850548163452,-0.32294431163988707,-1.3691129887541844,-2.405598231581577,-3.3777859426373076,-4.644935518771565,-6.008664660168334,,
Avg jaccard % Loss cyl,0.03381934748480163,0.22736240888481654,-0.335457813539885,-1.387463677413335,-2.4103628823098826,-3.236533191786376,-4.502240793018764,-5.434984543844445,,
Avg jaccard % Loss spv,0.4752748738545434,0.6471157088497944,-0.3259171363252755,-1.4090235904410164,-2.2702144710370633,0,-4.673046251993618,-5.015564241662885,,
Avg jaccard % Loss sal,0.028272014187012078,0.19954645935152604,-0.3106560551875595,-1.3103065099361026,-2.619987404095611,-3.4625375931478666,-4.7595195113023125,-6.792054927583002,,
Min jaccard % Loss,-7.99720755606007,-0.09992593835898012,-0.9954953959802837,-1.9837223215956712,-2.9875601288476994,-3.7673002226812526,-4.7595195113023125,-7.99720755606007,,
Min jaccard % Loss cyl,-5.434984543844445,-0.09970490742986504,-0.9954953959802837,-1.9837223215956712,-2.9875601288476994,-3.3030591828666243,-4.502240793018764,-5.434984543844445,,
Min jaccard % Loss spv,-5.015564241662885,-0.09992593835898012,-0.98016946138062,-1.837822298618702,-2.5906101634621037,-,-4.673046251993618,-5.015564241662885,,
Min jaccard % Loss sal,-7.99720755606007,-0.09975106896148445,-0.9681501592611275,-1.7608038953830285,-2.935283139769501,-3.7673002226812526,-4.7595195113023125,-7.99720755606007,,
Max jaccard % Loss,8.193829253597118,8.193829253597118,-0.10032427847390668,-1.008646459975654,-2.006309844663412,-3.0128476600854603,-4.502240793018764,-5.015564241662885,,
Max jaccard % Loss cyl,7.251780810777642,7.251780810777642,-0.10064456864445903,-1.0213189481889096,-2.006309844663412,-3.1762357737692373,-4.502240793018764,-5.434984543844445,,
Max jaccard % Loss spv,8.193829253597118,8.193829253597118,-0.10032427847390668,-1.0677598268415522,-2.0254085905710983,-,-4.673046251993618,-5.015564241662885,,
Max jaccard % Loss sal,6.42557091951233,6.42557091951233,-0.10074354115092721,-1.008646459975654,-2.04664841695138,-3.0128476600854603,-4.7595195113023125,-5.586902299105933,,
,,,,,,,,,,
Min Points Affected,15,15,15,18,18,47,24,54,,
Max Points Affected,3125,3125,1578,645,2326,206,245,1578,,
Avg Points Affected,288.468,94.00868092314207,95.52111410601977,127.4326923076923,217.15555555555557,136.5,120.66666666666667,534.75,,
,,,,,,,,,,
Min Seconds,0.26385316199593944,0.2701995879979222,0.26385316199593944,0.29735876599443145,0.2880208409987972,0.3170533680022345,0.3199219450034434,0.313624329995946,,
Max Seconds,0.9785437079990515,0.9785437079990515,0.8040252630016766,0.7037050709986943,0.8441659710006206,0.7552495259951684,0.4625520360059454,0.5870825339952717,,
Avg Seconds,1.4048196408978038,0.4685885120354454,0.4664637175580986,0.4746547572214275,0.4778975344670471,0.452268794124393,0.38588090233679395,0.41908623699600867,,
,,,,,,,,,,
Duplicates,72,,,,,,,,,
Duplicates Percent,3.5999999999999996,,,,,,,,,
,,,,,,,,,,
Time,00:27:48,,,,,,,,,
,,,,,,,,,,
