VEHICLE_DEFORM,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5997,3,0,0,0,0,0,,Key
cyl Total,2000,1999,1,0,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1998,2,0,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,2000,0,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,0,1,0,0,0,0,0,,bucket_5:   -4% > x >= -5%
spv,,0,2,0,0,0,0,0,,bucket_6:   -5% > x
sal,,0,0,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,2,0,0,0,0,0,0,,
spv_sal,,1,0,0,0,0,0,0,,
cyl_spv_sal,,1997,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,1,0,0,0,0,0,,
spv,,0,2,0,0,0,0,0,,
sal,,0,0,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sal,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.0002943521423390494,3.3811962395370447e-06,-0.2029937728422008,0,0,0,0,0,,
Avg accuracy % Loss cyl,5.242795526915756e-05,0.00012453695489581115,-0.14409346229841136,0,0,0,0,0,,
Avg accuracy % Loss spv,-4.439534488819841e-05,0.00018823682004594306,-0.23244392811409553,0,0,0,0,0,,
Avg accuracy % Loss sal,-0.00030238475272000855,-0.00030238475272000855,0,0,0,0,0,0,,
Min accuracy % Loss,-0.30770486451191514,-0.08196241437854468,-0.30770486451191514,-,-,-,-,-,,
Min accuracy % Loss cyl,-0.14409346229841136,-0.05505992067930121,-0.14409346229841136,-,-,-,-,-,,
Min accuracy % Loss spv,-0.30770486451191514,-0.06814515781210506,-0.30770486451191514,-,-,-,-,-,,
Min accuracy % Loss sal,-0.08196241437854468,-0.08196241437854468,-,-,-,-,-,-,,
Max accuracy % Loss,0.2991393532229547,0.2991393532229547,-0.14409346229841136,-,-,-,-,-,,
Max accuracy % Loss cyl,0.11022200621410017,0.11022200621410017,-0.14409346229841136,-,-,-,-,-,,
Max accuracy % Loss spv,0.2991393532229547,0.2991393532229547,-0.15718299171627592,-,-,-,-,-,,
Max accuracy % Loss sal,0.1403538618577782,0.1403538618577782,-,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,1,1,370,-,-,-,-,-,,
Max Points Affected,2157,2157,1378,-,-,-,-,-,,
Avg Points Affected,412.0395,137.02234450558612,785.3333333333334,0,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.24708316099713556,0.24708316099713556,0.2907378840027377,-,-,-,-,-,,
Max Seconds,0.3827003149999655,0.3827003149999655,0.3582435270000133,-,-,-,-,-,,
Avg Seconds,0.8803915633258949,0.2934450816684658,0.3309906286667683,0,0,0,0,0,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:19:46,,,,,,,,,
,,,,,,,,,,
