VEHICLE_DEFORM,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5979,20,1,0,0,0,0,,Key
cyl Total,2000,1993,6,1,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1990,10,0,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1996,4,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,0,5,1,0,0,0,0,,bucket_5:   -4% > x >= -5%
spv,,1,9,0,0,0,0,0,,bucket_6:   -5% > x
sal,,1,4,0,0,0,0,0,,
cyl_spv,,3,1,0,0,0,0,0,,
cyl_sal,,9,0,0,0,0,0,0,,
spv_sal,,5,0,0,0,0,0,0,,
cyl_spv_sal,,1981,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,5,1,0,0,0,0,,
spv,,0,9,0,0,0,0,0,,
sal,,0,3,0,0,0,0,0,,
cyl_spv,,0,1,0,0,0,0,0,,
cyl_sal,,0,1,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sal,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,0.00017001211911266102,0.001122190175903942,-0.26361310186152676,-1.097288786273809,0,0,0,0,,
Avg jaccard % Loss cyl,-0.0005879401118924791,0.0010483138885533836,-0.3613135028996739,-1.097288786273809,0,0,0,0,,
Avg jaccard % Loss spv,0.0005976889253483822,0.0018001800438434495,-0.23869804365517,0,0,0,0,0,,
Avg jaccard % Loss sal,0.00016026330565675762,0.0005200036045061658,-0.17935014582019793,0,0,0,0,0,,
Min jaccard % Loss,-1.097288786273809,-0.09992543235611828,-0.7306331182864056,-1.097288786273809,-,-,-,-,,
Min jaccard % Loss cyl,-1.097288786273809,-0.09131679730044473,-0.7306331182864056,-1.097288786273809,-,-,-,-,,
Min jaccard % Loss spv,-0.5937231752120242,-0.08075853917155484,-0.5937231752120242,-,-,-,-,-,,
Min jaccard % Loss sal,-0.2502825977353129,-0.09992543235611828,-0.2502825977353129,-,-,-,-,-,,
Max jaccard % Loss,0.6866027469315528,0.6866027469315528,-0.11303730283651059,-1.097288786273809,-,-,-,-,,
Max jaccard % Loss cyl,0.6866027469315528,0.6866027469315528,-0.11403984091345465,-1.097288786273809,-,-,-,-,,
Max jaccard % Loss spv,0.5723802823129731,0.5723802823129731,-0.12459712349442431,-,-,-,-,-,,
Max jaccard % Loss sal,0.3945679001814473,0.3945679001814473,-0.11303730283651059,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,1,1,2,14,-,-,-,-,,
Max Points Affected,2157,2157,370,14,-,-,-,-,,
Avg Points Affected,412.0395,137.63873557451078,56.15,14.0,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.24708316099713556,0.24708316099713556,0.26346883999940474,0.2879514430023846,-,-,-,-,,
Max Seconds,0.3827003149999655,0.3827003149999655,0.3139689800009364,0.2879514430023846,-,-,-,-,,
Avg Seconds,0.8803915633258949,0.29348620580778817,0.2870575342010852,0.2879514430023846,0,0,0,0,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:19:46,,,,,,,,,
,,,,,,,,,,
