SCENE_INTENSITY,,,,,,,,,
,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,,Key
Total,2000,5776,145,34,26,17,2,,bucket_0:         x >= -0.1%
cyl Total,,1914,56,15,10,5,0,,bucket_1: -0.1% > x >= -0.5%
spv Total,,1963,27,4,4,2,0,,bucket_2: -0.5% > x >= -1%
sal Total,,1899,62,15,12,10,2,,bucket_3:   -1% > x >= -2%
,,,,,,,,,bucket_4:   -2% > x >= -5%
Avg accuracy % Loss,-0.0007442827462651786,2.5279593365915586e-06,-0.002120941506571622,-0.00751169322205311,-0.013925897624461614,-0.023903512815744942,-0.08589992077607578,,bucket_5:   -5% > x
Avg accuracy % Loss cyl,-0.00022062066085295446,2.647620707129747e-05,-0.0021710522021629063,-0.007626745322837321,-0.013981791122715814,-0.02322375352990631,0,,
Avg accuracy % Loss spv,-9.628683908663544e-05,-8.26200598023457e-06,-0.0019053114256233185,-0.006583026847769874,-0.014037618723370004,-0.021214684828840646,0,,
Avg accuracy % Loss sal,-0.00042737524632558793,-1.0455844901058477e-05,-0.002169583655482788,-0.007644285487744429,-0.013842079342946984,-0.024781158056045118,-0.08589992077607578,,
Min accuracy % Loss,-0.12159806727253575,-0.0009940108756484323,-0.004863203133835703,-0.009918904778514204,-0.01981320826549371,-0.031250554402398545,-0.12159806727253575,,
Min accuracy % Loss cyl,-0.026505878702203223,-0.0009940108756484323,-0.004751478188410374,-0.009918904778514204,-0.018606077644593322,-0.026505878702203223,-,,
Min accuracy % Loss spv,-0.02130143475906876,-0.0009538279733266597,-0.004710453252189772,-0.007768559422476007,-0.016654414100434778,-0.02130143475906876,-,,
Min accuracy % Loss sal,-0.12159806727253575,-0.0009681217565741251,-0.004863203133835703,-0.009658159681573464,-0.01981320826549371,-0.031250554402398545,-0.12159806727253575,,
Max accuracy % Loss,0.059562704197034466,0.059562704197034466,-0.0010016497761018428,-0.005003039613558413,-0.010101363771642613,-0.020609936903078996,-0.05020177427961581,,
Max accuracy % Loss cyl,0.059562704197034466,0.059562704197034466,-0.0010027229908743385,-0.005003039613558413,-0.01027094032229503,-0.02074721160595905,-,,
Max accuracy % Loss spv,0.0072293556660386615,0.0072293556660386615,-0.0010076670317633596,-0.005031476919609035,-0.011767494624202124,-0.021127934898612533,-,,
Max accuracy % Loss sal,0.005361337797022192,0.005361337797022192,-0.0010016497761018428,-0.005214363438520109,-0.010101363771642613,-0.020609936903078996,-0.05020177427961581,,
,,,,,,,,,
cyl,,6,37,11,9,3,0,,
spv,,21,12,1,3,1,0,,
sal,,9,43,10,11,9,2,,
cyl_spv,,64,6,0,0,1,0,,
cyl_sal,,12,10,2,0,1,0,,
spv_sal,,46,6,1,0,0,0,,
cyl_spv_sal,,1832,3,2,1,0,0,,
