SCENE_INTENSITY,,,,,,,,,
,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,,Key
Total,2000,5165,329,59,53,145,249,,bucket_0:         x >= -0.1%
cyl Total,,1671,114,23,13,55,124,,bucket_1: -0.1% > x >= -0.5%
spv Total,,1820,75,10,16,30,49,,bucket_2: -0.5% > x >= -1%
sal Total,,1674,140,26,24,60,76,,bucket_3:   -1% > x >= -2%
,,,,,,,,,bucket_4:   -2% > x >= -5%
Avg jaccard % Loss,-0.012059877940684771,0.0007432275434407968,-0.002131451866477038,-0.007200047664711606,-0.013414608616185684,-0.03587391462800536,-0.08401519594069745,,bucket_5:   -5% > x
Avg jaccard % Loss cyl,-0.005818213064251127,0.0008547766642250371,-0.0022069931936229063,-0.00724973835220648,-0.013228524791741034,-0.03505204856064431,-0.0850530906058103,,
Avg jaccard % Loss spv,-0.0022741497158161425,0.0004333475975601349,-0.0019972490896698015,-0.006557735259139064,-0.013530515096072438,-0.035600781728212856,-0.07830835370390934,,
Avg jaccard % Loss sal,-0.003967515160617483,0.0009687848437229527,-0.0021418339876621358,-0.007403133750994042,-0.013438133034502031,-0.03676385830631592,-0.08600120029765322,,
Min jaccard % Loss,-0.2083479030280586,-0.0009955403660482087,-0.004998160415937369,-0.009898375834308526,-0.01936699978246126,-0.04999132999217171,-0.2083479030280586,,
Min jaccard % Loss cyl,-0.19351219436174427,-0.0009955403660482087,-0.004998160415937369,-0.009683098591549255,-0.015824968553761254,-0.049608182464070394,-0.19351219436174427,,
Min jaccard % Loss spv,-0.13224672843598873,-0.0009824274504210972,-0.004919151473296024,-0.009898375834308526,-0.018932705562820895,-0.04999132999217171,-0.13224672843598873,,
Min jaccard % Loss sal,-0.2083479030280586,-0.000986848030619214,-0.00497272349528588,-0.009834405010058,-0.01936699978246126,-0.04993787790410931,-0.2083479030280586,,
Max jaccard % Loss,0.10187352687309237,0.10187352687309237,-0.001002879235771359,-0.0050331480319499855,-0.010061174881458745,-0.020120641753462065,-0.0504375306513114,,
Max jaccard % Loss cyl,0.10187352687309237,0.10187352687309237,-0.0010060939880189856,-0.005169441744697578,-0.010975147160780296,-0.020120641753462065,-0.05073981187666643,,
Max jaccard % Loss spv,0.08101587479515926,0.08101587479515926,-0.001002879235771359,-0.005055850481169966,-0.010092483879343694,-0.020368625043775124,-0.050725467061748075,,
Max jaccard % Loss sal,0.07293770289199397,0.07293770289199397,-0.0010119247722488733,-0.0050331480319499855,-0.010061174881458745,-0.020162893911622404,-0.0504375306513114,,
,,,,,,,,,
cyl,,31,96,20,13,45,82,,
spv,,66,61,8,16,22,20,,
sal,,39,121,25,24,50,50,,
cyl_spv,,183,6,2,0,4,18,,
cyl_sal,,64,11,1,0,6,15,,
spv_sal,,178,7,0,0,4,2,,
cyl_spv_sal,,1393,1,0,0,0,9,,
