ADD_MIRROR_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,6856,2793,250,40,18,12,31,,Key
cyl Total,2000,1719,250,23,4,2,0,2,,bucket_0:         x >= -0.1%
spv Total,2000,1658,294,31,10,0,5,2,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1218,688,74,5,6,1,8,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1093,804,74,11,4,5,9,,bucket_3:   -2% > x >= -3%
dar Total,2000,1168,757,48,10,6,1,10,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,98,24,10,4,2,0,2,,
spv,,85,30,19,8,0,5,2,,
sal,,6,38,23,3,5,1,0,,
sq3,,8,76,18,9,2,5,1,,
dar,,14,103,19,6,5,1,1,,
cyl_spv,,294,18,2,0,0,0,0,,
cyl_sal,,18,3,1,0,0,0,0,,
cyl_sq3,,3,10,3,0,0,0,0,,
cyl_dar,,16,8,0,0,0,0,0,,
spv_sal,,10,5,3,0,0,0,0,,
spv_sq3,,1,7,2,0,0,0,0,,
spv_dar,,13,28,0,2,0,0,0,,
sal_sq3,,5,107,19,1,1,0,2,,
sal_dar,,7,34,4,1,0,0,3,,
sq3_dar,,4,83,6,1,1,0,3,,
cyl_spv_sal,,68,4,0,0,0,0,0,,
cyl_spv_sq3,,18,7,0,0,0,0,0,,
cyl_spv_dar,,90,10,0,0,0,0,0,,
cyl_sal_sq3,,22,18,4,0,0,0,0,,
cyl_sal_dar,,7,8,0,0,0,0,0,,
cyl_sq3_dar,,5,13,0,0,0,0,0,,
spv_sal_sq3,,5,16,2,0,0,0,0,,
spv_sal_dar,,10,6,0,0,0,0,0,,
spv_sq3_dar,,1,19,1,0,0,0,0,,
sal_sq3_dar,,7,251,16,0,0,0,3,,
cyl_spv_sal_sq3,,93,10,1,0,0,0,0,,
cyl_spv_sal_dar,,73,7,0,0,0,0,0,,
cyl_spv_sq3_dar,,34,6,1,0,0,0,0,,
cyl_sal_sq3_dar,,24,60,1,0,0,0,0,,
spv_sal_sq3_dar,,7,77,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,856,44,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,7,10,3,2,1,2,,
spv,,0,24,19,10,5,6,2,,
sal,,0,34,19,4,3,1,0,,
sq3,,0,73,22,7,3,4,1,,
dar,,0,93,18,8,4,1,1,,
cyl_spv,,0,7,7,3,2,1,0,,
cyl_sal,,0,1,0,0,0,0,0,,
cyl_sq3,,0,10,4,1,0,0,0,,
cyl_dar,,0,5,0,0,0,0,0,,
spv_sal,,0,5,2,0,0,0,0,,
spv_sq3,,0,7,2,0,0,0,0,,
spv_dar,,0,22,2,2,0,0,0,,
sal_sq3,,0,90,16,5,4,2,2,,
sal_dar,,0,18,4,1,2,2,3,,
sq3_dar,,0,68,5,7,5,4,3,,
cyl_spv_sal,,0,4,1,0,0,0,0,,
cyl_spv_sq3,,0,7,0,0,0,0,0,,
cyl_spv_dar,,0,5,0,0,0,0,0,,
cyl_sal_sq3,,0,13,4,0,0,0,0,,
cyl_sal_dar,,0,1,0,0,0,0,0,,
cyl_sq3_dar,,0,10,0,0,0,0,0,,
spv_sal_sq3,,0,16,4,1,0,0,0,,
spv_sal_dar,,0,3,1,0,0,0,0,,
spv_sq3_dar,,0,18,1,0,0,0,0,,
sal_sq3_dar,,0,294,35,8,6,4,3,,
cyl_spv_sal_sq3,,0,14,1,0,0,0,0,,
cyl_spv_sal_dar,,0,8,0,1,0,0,0,,
cyl_spv_sq3_dar,,0,6,2,0,0,0,0,,
cyl_sal_sq3_dar,,0,85,1,0,0,0,0,,
spv_sal_sq3_dar,,0,98,5,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,98,1,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.8937115278966654,-0.01907900272070847,-0.3053802359266154,-1.340697795323836,-2.3927065851037144,-3.3294840757774598,-4.3876717300929045,-8.394352510867938,,
Avg accuracy % Loss cyl,-0.07024457862918211,-0.006196107271770154,-0.27998348168807785,-1.3404438239765926,-2.2438040879762147,-3.205165734688853,0,-6.813211331713897,,
Avg accuracy % Loss spv,-0.10325489623294663,-0.013188420680934773,-0.29714641625286914,-1.3284730463466057,-2.2755068461922585,0,-4.384737242116844,-5.710462744654071,,
Avg accuracy % Loss sal,-0.23152734466013186,-0.02689179166433636,-0.32751453424250554,-1.3836812297333458,-2.477875634689899,-3.4486296126598255,-4.213093993557548,-8.16047833387804,,
Avg accuracy % Loss sq3,-0.2641639982240216,-0.03274521437636455,-0.31697943896151515,-1.3127905821093229,-2.4827409335743242,-3.287625422645002,-4.433526339008258,-8.65680238650991,,
Avg accuracy % Loss dar,-0.22452071015038674,-0.02546524931805338,-0.2845292122308738,-1.3254721326332295,-2.4278450147554085,-3.2796837546796023,-4.347648861931786,-9.198253153455667,,
Min accuracy % Loss,-13.533756785583517,-0.09998880125425824,-0.9972257629151993,-1.997243992765474,-2.929744155015368,-3.927588397205173,-4.91209885740661,-13.533756785583517,,
Min accuracy % Loss cyl,-7.958803160791971,-0.09971760644226224,-0.995133411646254,-1.9367761184023058,-2.3861387784964827,-3.2947765534892204,-,-7.958803160791971,,
Min accuracy % Loss spv,-5.934793467494092,-0.09990841728415578,-0.9921723089195811,-1.804408685628256,-2.5133567742819274,-,-4.91209885740661,-5.934793467494092,,
Min accuracy % Loss sal,-13.533756785583517,-0.09998880125425824,-0.9972257629151993,-1.997243992765474,-2.768582606078851,-3.927588397205173,-4.213093993557548,-13.533756785583517,,
Min accuracy % Loss sq3,-11.230123674911663,-0.09971760644225114,-0.9961858877848062,-1.958912934551782,-2.7330938622520673,-3.4924672275484236,-4.745692655760525,-11.230123674911663,,
Min accuracy % Loss dar,-12.419408758775496,-0.09985144053968886,-0.9889554609109896,-1.7874298204637817,-2.929744155015368,-3.755648919644128,-4.347648861931786,-12.419408758775496,,
Max accuracy % Loss,1.8912803852178417,1.8912803852178417,-0.10013936061018525,-1.0013741123810038,-2.035359173394946,-3.0038806113160565,-4.022222780864282,-5.203245627855679,,
Max accuracy % Loss cyl,1.8912803852178417,1.8912803852178417,-0.10019317243645798,-1.0147021864790107,-2.0614067519492685,-3.1155549158884854,-,-5.667619502635823,,
Max accuracy % Loss spv,0.9265444371969522,0.9265444371969522,-0.10092357795286055,-1.0174359309090053,-2.1328150418685854,-,-4.022222780864282,-5.48613202181405,,
Max accuracy % Loss sal,1.1303772336201168,1.1303772336201168,-0.10015993279591795,-1.0016176754088169,-2.0860215053763453,-3.007649657298661,-4.213093993557548,-5.203245627855679,,
Max accuracy % Loss sq3,0.944726081969649,0.944726081969649,-0.10013936061018525,-1.0013741123810038,-2.1785773229905936,-3.179265379898011,-4.08365994184261,-5.482905309595088,,
Max accuracy % Loss dar,1.1862867521852727,1.1862867521852727,-0.10026709078493345,-1.0129220508545256,-2.035359173394946,-3.0038806113160565,-4.347648861931786,-6.111943937724639,,
,,,,,,,,,,
Min Points Affected,25,25,50,366,2518,6674,4037,12336,,
Max Points Affected,56655,56655,50045,56655,37285,44859,37285,56655,,
Avg Points Affected,16308.5,1731.522024504084,5665.740780522736,11846.972,11372.75,20151.944444444445,17043.75,30237.354838709678,,
,,,,,,,,,,
Min Seconds,0.30190249503357336,0.30190249503357336,0.36959995300276205,0.4522176639875397,2.03162651398452,2.804900635033846,2.4972612429992296,3.682641554973088,,
Max Seconds,186.67724167503184,155.32227536500432,186.67724167503184,155.32227536500432,11.659022683044896,5.509480129985604,5.509480129985604,8.879089939990081,,
Avg Seconds,11.584553909565875,1.5111410063159283,3.9698290780368883,5.095566267822636,4.148848195005849,4.321199389714618,4.265309461416716,4.909086050482602,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:24:51,,,,,,,,,
,,,,,,,,,,
