ADD_MIRROR_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,4547,3788,699,278,197,161,330,,Key
cyl Total,2000,1308,525,70,37,19,14,27,,bucket_0:         x >= -0.1%
spv Total,2000,1365,465,71,30,26,18,25,,bucket_1: -0.1% > x >= -1%
sal Total,2000,662,942,169,68,34,38,87,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,560,942,230,73,59,50,86,,bucket_3:   -2% > x >= -3%
dar Total,2000,652,914,159,70,59,41,105,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,175,106,40,26,12,6,11,,
spv,,205,69,37,20,15,10,9,,
sal,,22,70,53,44,16,25,23,,
sq3,,17,82,108,42,38,30,13,,
dar,,30,112,65,50,42,23,35,,
cyl_spv,,402,32,3,3,0,3,1,,
cyl_sal,,22,21,5,0,1,1,0,,
cyl_sq3,,13,16,4,2,3,3,3,,
cyl_dar,,27,28,4,2,2,1,4,,
spv_sal,,20,18,12,3,4,0,3,,
spv_sq3,,11,15,4,3,3,2,0,,
spv_dar,,34,21,5,0,1,3,1,,
sal_sq3,,7,109,45,10,6,5,13,,
sal_dar,,4,57,14,3,2,4,10,,
sq3_dar,,7,76,26,6,6,7,18,,
cyl_spv_sal,,68,22,0,0,0,0,1,,
cyl_spv_sq3,,24,9,0,0,0,0,0,,
cyl_spv_dar,,90,18,1,0,0,0,0,,
cyl_sal_sq3,,9,47,0,1,0,0,1,,
cyl_sal_dar,,10,24,3,0,1,0,0,,
cyl_sq3_dar,,7,19,5,1,0,0,2,,
spv_sal_sq3,,14,32,3,0,0,0,1,,
spv_sal_dar,,10,27,1,0,2,0,1,,
spv_sq3_dar,,12,17,1,1,1,0,1,,
sal_sq3_dar,,10,274,27,5,2,3,25,,
cyl_spv_sal_sq3,,84,19,0,0,0,0,1,,
cyl_spv_sal_dar,,66,14,0,0,0,0,0,,
cyl_spv_sq3_dar,,29,19,1,0,0,0,0,,
cyl_sal_sq3_dar,,20,75,3,2,0,0,2,,
spv_sal_sq3_dar,,34,77,2,0,0,0,5,,
cyl_spv_sal_sq3_dar,,262,56,1,0,0,0,1,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,34,32,22,14,7,11,,
spv,,0,20,21,16,19,13,9,,
sal,,0,29,34,36,24,29,23,,
sq3,,0,66,88,36,27,24,13,,
dar,,0,84,60,46,41,31,35,,
cyl_spv,,0,10,6,6,2,3,1,,
cyl_sal,,0,12,7,4,4,2,0,,
cyl_sq3,,0,10,8,4,5,7,3,,
cyl_dar,,0,14,7,7,4,4,4,,
spv_sal,,0,7,11,6,5,2,3,,
spv_sq3,,0,10,3,4,2,2,0,,
spv_dar,,0,9,12,8,4,2,1,,
sal_sq3,,0,90,51,18,17,10,13,,
sal_dar,,0,24,19,14,15,16,10,,
sq3_dar,,0,68,59,51,41,26,18,,
cyl_spv_sal,,0,7,3,3,1,1,1,,
cyl_spv_sq3,,0,4,3,2,1,0,0,,
cyl_spv_dar,,0,7,1,0,1,0,0,,
cyl_sal_sq3,,0,34,10,8,3,2,1,,
cyl_sal_dar,,0,11,1,0,0,0,0,,
cyl_sq3_dar,,0,20,13,8,7,4,2,,
spv_sal_sq3,,0,27,8,1,3,0,1,,
spv_sal_dar,,0,13,8,6,4,4,1,,
spv_sq3_dar,,0,22,10,6,6,2,1,,
sal_sq3_dar,,0,402,116,68,48,38,25,,
cyl_spv_sal_sq3,,0,30,2,2,1,2,1,,
cyl_spv_sal_dar,,0,17,1,1,0,0,0,,
cyl_spv_sq3_dar,,0,22,2,0,0,0,0,,
cyl_sal_sq3_dar,,0,205,46,22,14,7,2,,
