ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,6794,2872,249,47,14,11,13,,Key
cyl Total,2000,1717,255,17,6,1,1,3,,bucket_0:         x >= -0.1%
spv Total,2000,1643,308,26,12,6,4,1,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1192,719,73,6,3,6,1,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1071,837,78,10,2,0,2,,bucket_3:   -2% > x >= -3%
dar Total,2000,1171,753,55,13,2,0,6,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,113,22,5,2,0,1,2,,
spv,,80,39,11,9,4,4,1,,
sal,,10,40,25,2,3,6,1,,
sq3,,1,74,21,7,2,0,0,,
dar,,12,97,14,10,1,0,5,,
cyl_spv,,284,12,1,2,1,0,0,,
cyl_sal,,20,6,2,2,0,0,0,,
cyl_sq3,,0,6,1,0,0,0,1,,
cyl_dar,,15,9,0,0,0,0,0,,
spv_sal,,6,8,1,0,0,0,0,,
spv_sq3,,3,11,3,1,0,0,0,,
spv_dar,,11,9,1,0,1,0,0,,
sal_sq3,,4,104,14,0,0,0,0,,
sal_dar,,3,28,5,1,0,0,0,,
sq3_dar,,3,81,9,1,0,0,1,,
cyl_spv_sal,,70,5,1,0,0,0,0,,
cyl_spv_sq3,,20,4,2,0,0,0,0,,
cyl_spv_dar,,105,7,0,0,0,0,0,,
cyl_sal_sq3,,8,15,1,0,0,0,0,,
cyl_sal_dar,,9,7,0,0,0,0,0,,
cyl_sq3_dar,,4,7,2,0,0,0,0,,
spv_sal_sq3,,6,18,2,0,0,0,0,,
spv_sal_dar,,4,0,1,0,0,0,0,,
spv_sq3_dar,,4,20,1,0,0,0,0,,
sal_sq3_dar,,6,253,19,1,0,0,0,,
cyl_spv_sal_sq3,,87,13,0,0,0,0,0,,
cyl_spv_sal_dar,,70,4,0,0,0,0,0,,
cyl_spv_sq3_dar,,36,13,1,0,0,0,0,,
cyl_sal_sq3_dar,,32,73,1,0,0,0,0,,
spv_sal_sq3_dar,,13,93,1,0,0,0,0,,
cyl_spv_sal_sq3_dar,,844,52,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,13,4,1,1,3,2,,
spv,,0,32,18,11,4,3,1,,
sal,,0,36,24,6,6,6,1,,
sq3,,0,70,17,5,1,0,0,,
dar,,0,87,12,9,4,4,5,,
cyl_spv,,0,6,1,4,2,0,0,,
cyl_sal,,0,4,1,2,1,0,0,,
cyl_sq3,,0,4,1,1,0,0,1,,
cyl_dar,,0,6,0,0,0,0,0,,
spv_sal,,0,4,0,0,2,0,0,,
spv_sq3,,0,9,2,0,0,0,0,,
spv_dar,,0,8,4,3,2,1,0,,
sal_sq3,,0,105,12,0,0,0,0,,
sal_dar,,0,20,2,2,0,0,0,,
sq3_dar,,0,70,5,3,1,0,1,,
cyl_spv_sal,,0,3,2,1,0,0,0,,
cyl_spv_sq3,,0,3,3,0,1,1,0,,
cyl_spv_dar,,0,4,0,0,0,0,0,,
cyl_sal_sq3,,0,11,1,0,0,0,0,,
cyl_sal_dar,,0,3,1,0,0,0,0,,
cyl_sq3_dar,,0,6,3,0,0,0,0,,
spv_sal_sq3,,0,15,2,1,0,0,0,,
spv_sal_dar,,0,0,1,1,0,0,0,,
spv_sq3_dar,,0,20,2,0,0,0,0,,
sal_sq3_dar,,0,284,29,2,1,1,0,,
cyl_spv_sal_sq3,,0,12,0,1,0,0,0,,
cyl_spv_sal_dar,,0,1,2,0,0,0,0,,
cyl_spv_sq3_dar,,0,10,3,1,0,0,0,,
cyl_sal_sq3_dar,,0,80,3,0,0,0,0,,
spv_sal_sq3_dar,,0,113,6,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,117,3,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.8122389516842405,-0.01319960506142522,-0.31459686838667483,-1.3651237780179377,-2.4134054403098006,-3.3375184816978796,-4.294373937427999,-6.459102469086294,,
Avg accuracy % Loss cyl,-0.07397053489911398,-0.005924755127079587,-0.28109076645986136,-1.4162866033532466,-2.427286836778094,-3.0236417889365597,-4.136273488184483,-6.763203747657716,,
Avg accuracy % Loss spv,-0.10493353250813686,-0.006922627791585753,-0.2823512922879683,-1.524384895796811,-2.3677374960236763,-3.3677799575674925,-4.284878428517633,-6.135938827527609,,
Avg accuracy % Loss sal,-0.20782479669019538,-0.013124242938413204,-0.34173600806138227,-1.3395345663632505,-2.443027252949881,-3.5660011518206374,-4.327054351575496,-5.192789574536338,,
