ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,4599,3842,700,262,175,139,283,,Key
cyl Total,2000,1322,535,68,30,15,11,19,,bucket_0:         x >= -0.1%
spv Total,2000,1352,461,67,45,27,20,28,,bucket_1: -0.1% > x >= -1%
sal Total,2000,677,958,182,47,32,31,73,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,553,995,213,83,56,40,60,,bucket_3:   -2% > x >= -3%
dar Total,2000,695,893,170,57,45,37,103,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,181,81,34,15,5,5,7,,
spv,,196,60,41,24,15,15,9,,
sal,,16,81,67,24,17,21,17,,
sq3,,9,95,83,62,33,24,10,,
dar,,25,106,72,33,25,28,27,,
cyl_spv,,356,37,3,7,2,1,0,,
cyl_sal,,26,29,5,0,2,1,1,,
cyl_sq3,,9,24,4,2,0,1,0,,
cyl_dar,,34,30,2,1,3,2,2,,
spv_sal,,23,30,6,4,2,1,1,,
spv_sq3,,16,16,4,2,3,2,1,,
spv_dar,,29,25,5,5,3,0,7,,
sal_sq3,,7,129,45,4,6,5,1,,
sal_dar,,5,42,19,7,1,0,14,,
sq3_dar,,8,78,34,4,9,5,15,,
cyl_spv_sal,,72,17,0,0,0,0,0,,
cyl_spv_sq3,,20,7,2,0,1,0,0,,
cyl_spv_dar,,118,17,1,0,0,0,0,,
cyl_sal_sq3,,17,36,6,1,1,0,1,,
cyl_sal_dar,,7,22,3,0,0,0,2,,
cyl_sq3_dar,,13,25,4,0,1,0,1,,
spv_sal_sq3,,23,38,0,1,0,1,1,,
spv_sal_dar,,18,10,0,0,1,0,3,,
spv_sq3_dar,,5,17,0,0,0,0,0,,
sal_sq3_dar,,9,252,25,3,2,1,24,,
cyl_spv_sal_sq3,,71,21,1,0,0,0,0,,
cyl_spv_sal_dar,,78,12,0,0,0,0,2,,
cyl_spv_sq3_dar,,41,18,0,1,0,0,0,,
cyl_sal_sq3_dar,,19,103,1,2,0,1,2,,
spv_sal_sq3_dar,,26,80,2,0,0,0,3,,
cyl_spv_sal_sq3_dar,,260,56,2,1,0,0,1,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,26,29,17,10,8,7,,
spv,,0,19,32,24,13,11,9,,
sal,,0,41,45,34,22,20,17,,
sq3,,0,78,80,50,23,12,10,,
dar,,0,71,67,46,39,35,27,,
cyl_spv,,0,9,6,5,2,2,0,,
cyl_sal,,0,5,6,1,4,2,1,,
cyl_sq3,,0,18,3,1,0,0,0,,
cyl_dar,,0,23,6,3,2,1,2,,
spv_sal,,0,13,7,2,5,3,1,,
spv_sq3,,0,7,3,2,1,1,1,,
spv_dar,,0,17,12,11,6,6,7,,
sal_sq3,,0,118,48,10,4,4,1,,
sal_dar,,0,20,14,9,8,11,14,,
sq3_dar,,0,72,57,42,28,20,15,,
cyl_spv_sal,,0,8,2,3,1,0,0,,
cyl_spv_sq3,,0,5,3,1,1,0,0,,
cyl_spv_dar,,0,7,2,1,1,0,0,,
