SCENE_REMOVE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5854,134,7,3,2,0,0,,Key
cyl Total,2000,1936,62,2,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1940,50,5,3,2,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1978,22,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,5,43,1,0,0,0,0,,bucket_5:   -4% > x >= -5%
spv,,1,28,4,3,2,0,0,,bucket_6:   -5% > x
sal,,24,14,0,0,0,0,0,,
cyl_spv,,13,16,1,0,0,0,0,,
cyl_sal,,28,2,0,0,0,0,0,,
spv_sal,,36,5,0,0,0,0,0,,
cyl_spv_sal,,1890,1,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,36,0,0,0,0,0,,
spv,,0,28,8,5,2,0,0,,
sal,,0,13,0,0,0,0,0,,
cyl_spv,,0,24,2,0,0,0,0,,
cyl_sal,,0,1,0,0,0,0,0,,
spv_sal,,0,5,0,0,0,0,0,,
cyl_spv_sal,,2000,3,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.02488187901291228,0.000792602043431181,-0.2346873677743506,-1.2581230291097316,-2.3898824815598685,-3.4895172289300005,0,0,,
Avg accuracy % Loss cyl,-0.01436057372552098,-0.005361865660607335,-0.2594671169468787,-1.1268071406998093,0,0,0,0,,
Avg accuracy % Loss spv,-0.019956897695863125,-0.0038505458656296447,-0.2348361517499324,-1.310649384473701,-2.3898824815598685,-3.4895172289300005,0,0,,
Avg accuracy % Loss sal,0.009435592408471851,0.011370335318758121,-0.16451538379817549,0,0,0,0,0,,
Min accuracy % Loss,-3.5405475016557553,-0.0999527782150178,-0.9841549438029729,-1.6997402023105401,-2.7817816255519934,-3.5405475016557553,-,-,,
Min accuracy % Loss cyl,-1.2368395070593174,-0.0999527782150178,-0.9841549438029729,-1.2368395070593174,-,-,-,-,,
Min accuracy % Loss spv,-3.5405475016557553,-0.09903159370755477,-0.8615707439383335,-1.6997402023105401,-2.7817816255519934,-3.5405475016557553,-,-,,
Min accuracy % Loss sal,-0.6241583136435858,-0.09884735389931176,-0.6241583136435858,-,-,-,-,-,,
Max accuracy % Loss,0.5163756704325007,0.5163756704325007,-0.10021329802883949,-1.016774774340301,-2.118830787309056,-3.4384869562042453,-,-,,
Max accuracy % Loss cyl,0.480154441428593,0.480154441428593,-0.10029770907296065,-1.016774774340301,-,-,-,-,,
Max accuracy % Loss spv,0.4407107597919624,0.4407107597919624,-0.10021329802883949,-1.072520099671792,-2.118830787309056,-3.4384869562042453,-,-,,
Max accuracy % Loss sal,0.5163756704325007,0.5163756704325007,-0.10200777202072908,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,25,25,29,733,924,1047,-,-,,
Max Points Affected,7350,7350,7350,7350,1400,1350,-,-,,
Avg Points Affected,1013.223,310.17167748548,1315.0373134328358,4069.8571428571427,1200.0,1198.5,0,0,,
,,,,,,,,,,
Min Seconds,0.21275625099951867,0.21275625099951867,0.2725321789912414,0.7805033209879184,0.926579662002041,1.3688895600062096,-,-,,
Max Seconds,83.59646503301337,83.59646503301337,83.59646503301337,83.59646503301337,26.884844909000094,1.7635202680103248,-,-,,
Avg Seconds,1.491792236168174,0.43870603476876274,2.0915542678656003,14.691622592142917,9.719101644334538,1.5662049140082672,0,0,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,06:02:25,,,,,,,,,
,,,,,,,,,,
