SIGN_REPLACE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,7482,2160,226,66,29,20,17,,Key
cyl Total,2000,1486,425,55,15,9,6,4,,bucket_0:         x >= -0.1%
spv Total,2000,1732,226,30,6,4,2,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1471,469,34,11,5,3,7,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1324,591,58,14,7,3,3,,bucket_3:   -2% > x >= -3%
dar Total,2000,1469,449,49,20,4,6,3,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,23,144,33,10,9,3,4,,
spv,,57,49,18,3,4,2,0,,
sal,,7,97,14,6,3,2,4,,
sq3,,11,147,29,7,3,3,0,,
dar,,16,118,21,10,2,4,2,,
cyl_spv,,75,36,2,0,0,0,0,,
cyl_sal,,8,19,1,0,0,1,0,,
cyl_sq3,,5,37,2,1,0,0,0,,
cyl_dar,,7,31,3,2,0,2,0,,
spv_sal,,26,11,1,0,0,0,0,,
spv_sq3,,2,15,1,0,0,0,0,,
spv_dar,,44,17,3,0,0,0,0,,
sal_sq3,,7,95,7,1,2,0,2,,
sal_dar,,12,32,2,2,0,0,0,,
sq3_dar,,5,65,5,3,2,0,0,,
cyl_spv_sal,,67,4,0,0,0,0,0,,
cyl_spv_sq3,,28,9,0,0,0,0,0,,
cyl_spv_dar,,96,6,2,1,0,0,0,,
cyl_sal_sq3,,19,42,1,0,0,0,0,,
cyl_sal_dar,,11,6,1,1,0,0,0,,
cyl_sq3_dar,,11,23,5,0,0,0,0,,
spv_sal_sq3,,36,7,0,1,0,0,0,,
spv_sal_dar,,38,6,0,0,0,0,0,,
spv_sq3_dar,,21,7,1,1,0,0,0,,
sal_sq3_dar,,35,66,2,0,0,0,1,,
cyl_spv_sal_sq3,,112,13,1,0,0,0,0,,
cyl_spv_sal_dar,,141,7,0,0,0,0,0,,
cyl_spv_sq3_dar,,80,1,0,0,0,0,0,,
cyl_sal_sq3_dar,,43,26,3,0,0,0,0,,
spv_sal_sq3_dar,,149,17,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,760,21,1,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,149,47,22,15,6,4,,
spv,,0,43,12,7,5,2,0,,
sal,,0,80,15,12,8,6,4,,
sq3,,0,141,24,6,5,3,0,,
dar,,0,112,22,11,6,4,2,,
cyl_spv,,0,35,5,0,0,0,0,,
cyl_sal,,0,21,3,1,0,1,0,,
cyl_sq3,,0,38,1,1,0,0,0,,
