VEHICLE_DEFORM,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,9986,12,2,0,0,0,0,,Key
cyl Total,2000,1997,3,0,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1996,2,2,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1997,3,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1998,2,0,0,0,0,0,,bucket_3:   -2% > x >= -3%
dar Total,2000,1998,2,0,0,0,0,0,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,0,3,0,0,0,0,0,,
spv,,0,2,2,0,0,0,0,,
sal,,0,1,0,0,0,0,0,,
sq3,,0,0,0,0,0,0,0,,
dar,,0,0,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,1,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,1,0,0,0,0,0,,
sal_dar,,0,1,0,0,0,0,0,,
sq3_dar,,0,1,0,0,0,0,0,,
cyl_spv_sal,,1,0,0,0,0,0,0,,
cyl_spv_sq3,,1,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3,,0,0,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,0,0,0,0,0,0,,
sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3,,0,0,0,0,0,0,0,,
cyl_spv_sal_dar,,0,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,1,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,3,0,0,0,0,0,0,,
spv_sal_sq3_dar,,3,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,1990,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,3,0,0,0,0,0,,
spv,,0,3,2,0,0,0,0,,
sal,,0,1,0,0,0,0,0,,
sq3,,0,0,0,0,0,0,0,,
dar,,0,0,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,0,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,0,0,0,0,0,0,,
sal_dar,,0,1,0,0,0,0,0,,
sq3_dar,,0,1,0,0,0,0,0,,
cyl_spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sq3,,0,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3,,0,1,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,0,0,0,0,0,0,,
sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3,,0,0,0,0,0,0,0,,
cyl_spv_sal_dar,,0,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.0031296060090466307,-8.27210229160997e-05,-0.22772929267683337,-1.35020418556554,0,0,0,0,,
Avg accuracy % Loss cyl,-0.00014266351663696497,3.4156628479367706e-05,-0.11784594011574241,0,0,0,0,0,,
Avg accuracy % Loss spv,-0.001540541551289204,0.00019290416246106184,-0.3828557198598037,-1.35020418556554,0,0,0,0,,
Avg accuracy % Loss sal,-0.0007177181227261354,-0.00027646163083648893,-0.2944474562239341,0,0,0,0,0,,
Avg accuracy % Loss sq3,-0.0006994893516005906,-0.00047464139712173603,-0.22532259587597636,0,0,0,0,0,,
Avg accuracy % Loss dar,-2.9193466793731025e-05,0.00011067455357554984,-0.13975734581570531,0,0,0,0,0,,
Min accuracy % Loss,-1.534401876465985,-0.08577773145957979,-0.5178446466060249,-1.534401876465985,-,-,-,-,,
Min accuracy % Loss cyl,-0.12509614653153367,-0.0809729979839302,-0.12509614653153367,-,-,-,-,-,,
Min accuracy % Loss spv,-1.534401876465985,-0.08577773145957979,-0.47170188440905925,-1.534401876465985,-,-,-,-,,
Min accuracy % Loss sal,-0.5178446466060249,-0.08503684930136757,-0.5178446466060249,-,-,-,-,-,,
Min accuracy % Loss sq3,-0.3078577013291617,-0.08017554223985757,-0.3078577013291617,-,-,-,-,-,,
Min accuracy % Loss dar,-0.15414030979675752,-0.06836019917293434,-0.15414030979675752,-,-,-,-,-,,
Max accuracy % Loss,0.28369553580986917,0.28369553580986917,-0.11403718142519725,-1.166006494665095,-,-,-,-,,
Max accuracy % Loss cyl,0.08096259355917512,0.08096259355917512,-0.11403718142519725,-,-,-,-,-,,
Max accuracy % Loss spv,0.16530828761996963,0.16530828761996963,-0.2940095553105482,-1.166006494665095,-,-,-,-,,
Max accuracy % Loss sal,0.24354994111979167,0.24354994111979167,-0.16677476141944148,-,-,-,-,-,,
Max accuracy % Loss sq3,0.16327588441104046,0.16327588441104046,-0.14278749042279104,-,-,-,-,-,,
Max accuracy % Loss dar,0.28369553580986917,0.28369553580986917,-0.1253743818346531,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,1,1,63,2082,-,-,-,-,,
Max Points Affected,3160,3160,2248,2248,-,-,-,-,,
Avg Points Affected,715.4525,141.96445023032246,743.1666666666666,2165.0,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.25016362505266443,0.25016362505266443,0.3126729699433781,0.36984824598766863,-,-,-,-,,
Max Seconds,0.4785693649901077,0.4785693649901077,0.36984824598766863,0.3974357660044916,-,-,-,-,,
Avg Seconds,1.5024731369770599,0.3004412972391616,0.331016309321664,0.3836420059960801,0,0,0,0,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:32:10,,,,,,,,,
,,,,,,,,,,
