VEHICLE_DEFORM,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,9968,31,1,0,0,0,0,,Key
cyl Total,2000,1993,6,1,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1992,8,0,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1992,8,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1997,3,0,0,0,0,0,,bucket_3:   -2% > x >= -3%
dar Total,2000,1994,6,0,0,0,0,0,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,0,6,1,0,0,0,0,,
spv,,0,7,0,0,0,0,0,,
sal,,0,6,0,0,0,0,0,,
sq3,,0,2,0,0,0,0,0,,
dar,,0,5,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,1,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,0,0,0,0,0,0,,
sal_dar,,0,1,0,0,0,0,0,,
sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sq3,,1,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3,,0,1,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,0,0,0,0,0,0,,
sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3,,5,0,0,0,0,0,0,,
cyl_spv_sal_dar,,2,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,6,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,7,0,0,0,0,0,0,,
spv_sal_sq3_dar,,7,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,1971,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,7,1,0,0,0,0,,
spv,,0,7,0,0,0,0,0,,
sal,,0,6,0,0,0,0,0,,
sq3,,0,2,0,0,0,0,0,,
dar,,0,5,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,0,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,0,0,0,0,0,0,,
sal_dar,,0,1,0,0,0,0,0,,
sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sq3,,0,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3,,0,1,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,0,0,0,0,0,0,,
sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3,,0,0,0,0,0,0,0,,
cyl_spv_sal_dar,,0,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,-0.0018151997795206607,0.0006138564513484676,-0.2800005032215743,-1.0693050662140435,0,0,0,0,,
Avg jaccard % Loss cyl,-0.0009189562125967635,0.0005559736483462184,-0.31277714002224954,-1.0693050662140435,0,0,0,0,,
Avg jaccard % Loss spv,0.0001596753334446338,0.0015908423901782808,-0.3562009217932337,0,0,0,0,0,,
Avg jaccard % Loss sal,0.0002488106621360911,0.0010623005188906914,-0.20231016366975899,0,0,0,0,0,,
Avg jaccard % Loss sq3,-0.0007728886589137007,-0.00020822734505321572,-0.3766491032520432,0,0,0,0,0,,
Avg jaccard % Loss dar,-0.0005318409035909133,7.103057126048738e-05,-0.20088612771253975,0,0,0,0,0,,
Min jaccard % Loss,-1.0693050662140435,-0.09898472405465708,-0.7872908410953894,-1.0693050662140435,-,-,-,-,,
Min jaccard % Loss cyl,-1.0693050662140435,-0.0872689952000405,-0.6397495405008558,-1.0693050662140435,-,-,-,-,,
Min jaccard % Loss spv,-0.6605198715149196,-0.09755189980166223,-0.6605198715149196,-,-,-,-,-,,
Min jaccard % Loss sal,-0.298864064690324,-0.0854210859922433,-0.298864064690324,-,-,-,-,-,,
Min jaccard % Loss sq3,-0.7872908410953894,-0.09898472405465708,-0.7872908410953894,-,-,-,-,-,,
Min jaccard % Loss dar,-0.33329993576404204,-0.09474807681716935,-0.33329993576404204,-,-,-,-,-,,
Max jaccard % Loss,1.7552984952268924,1.7552984952268924,-0.10308527883318708,-1.0693050662140435,-,-,-,-,,
Max jaccard % Loss cyl,0.41351781773122376,0.41351781773122376,-0.10709012508250959,-1.0693050662140435,-,-,-,-,,
Max jaccard % Loss spv,0.5845873052549522,0.5845873052549522,-0.10646924240290678,-,-,-,-,-,,
Max jaccard % Loss sal,1.7552984952268924,1.7552984952268924,-0.10697272428907278,-,-,-,-,-,,
Max jaccard % Loss sq3,0.42869652933397173,0.42869652933397173,-0.10382061539003784,-,-,-,-,-,,
Max jaccard % Loss dar,0.3111055966304621,0.3111055966304621,-0.10308527883318708,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,1,1,1,2,-,-,-,-,,
Max Points Affected,3160,3160,2248,2,-,-,-,-,,
Avg Points Affected,715.4525,142.18288523274478,439.48387096774195,2.0,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.25016362505266443,0.25016362505266443,0.2612789199920371,0.30342368298443034,-,-,-,-,,
Max Seconds,0.4785693649901077,0.4785693649901077,0.3974357660044916,0.30342368298443034,-,-,-,-,,
Avg Seconds,1.5024731369770599,0.30045588853385047,0.31285656018430485,0.30342368298443034,0,0,0,0,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:32:10,,,,,,,,,
,,,,,,,,,,
