VEHICLE_INTENSITY,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5711,225,32,18,5,6,3,,Key
cyl Total,2000,1898,81,14,5,1,1,0,,bucket_0:         x >= -0.1%
spv Total,2000,1958,36,4,1,0,0,1,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1855,108,14,12,4,5,2,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,6,49,11,4,1,1,0,,bucket_5:   -4% > x >= -5%
spv,,43,22,3,0,0,0,1,,bucket_6:   -5% > x
sal,,5,74,11,12,4,5,2,,
cyl_spv,,88,5,0,1,0,0,0,,
cyl_sal,,23,25,2,0,0,0,0,,
spv_sal,,46,7,0,0,0,0,0,,
cyl_spv_sal,,1781,2,1,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,46,15,6,2,1,0,,
spv,,0,23,4,1,1,1,1,,
sal,,0,88,32,23,11,7,2,,
cyl_spv,,0,5,1,1,0,0,0,,
cyl_sal,,0,43,4,0,0,0,0,,
spv_sal,,0,6,0,0,0,0,0,,
cyl_spv_sal,,2000,8,1,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,-0.10695480616804125,0.0008237375355979868,-0.2956978727296826,-1.3685544700656938,-2.304253990179584,-3.4414544095456967,-4.335939257119901,-7.862911193973802,,
Avg accuracy % Loss cyl,-0.029419846154419678,0.0022274558373335885,-0.29522365734082234,-1.428697584102745,-2.337049499209225,-3.0973175018064736,-4.369956068200731,0,,
Avg accuracy % Loss spv,-0.012228308878203422,-4.802056764714408e-05,-0.2597643802291972,-1.0974528872744416,-2.0595430328463338,0,0,-8.561721214758533,,
Avg accuracy % Loss sal,-0.06530665113541827,0.0003076432118566326,-0.30803136510482265,-1.3858689511118583,-2.3109817745283388,-3.527488636480503,-4.329135894903735,-7.513506183581437,,
Min accuracy % Loss,-8.65106007067138,-0.09929728078216238,-0.9712966996302086,-1.9950296838326609,-2.8700708636389183,-3.8793998223048964,-4.919877230573222,-8.65106007067138,,
Min accuracy % Loss cyl,-4.369956068200731,-0.098321105162269,-0.9319460608871455,-1.7982950246330343,-2.8700708636389183,-3.0973175018064736,-4.369956068200731,-,,
Min accuracy % Loss spv,-8.561721214758533,-0.09347054329752469,-0.7192044264437314,-1.1063844097321418,-2.0595430328463338,-,-,-8.561721214758533,,
Min accuracy % Loss sal,-8.65106007067138,-0.09929728078216238,-0.9712966996302086,-1.9950296838326609,-2.7525331661965913,-3.8793998223048964,-4.919877230573222,-8.65106007067138,,
Max accuracy % Loss,4.6349195865394215,4.6349195865394215,-0.10113843427672631,-1.009881091944398,-2.027477777978115,-3.0973175018064736,-4.069223032727187,-6.375952296491494,,
Max accuracy % Loss cyl,4.6349195865394215,4.6349195865394215,-0.10175507147276441,-1.0229571570145035,-2.098210807863099,-3.0973175018064736,-4.369956068200731,-,,
Max accuracy % Loss spv,1.3286874930440784,1.3286874930440784,-0.10419719318811582,-1.0752339140948974,-2.0595430328463338,-,-,-8.561721214758533,,
Max accuracy % Loss sal,1.0966808496066127,1.0966808496066127,-0.10113843427672631,-1.009881091944398,-2.027477777978115,-3.269854469854472,-4.069223032727187,-6.375952296491494,,
,,,,,,,,,,
Min Points Affected,6,6,67,809,1224,3434,3029,4357,,
Max Points Affected,20145,20145,17971,7443,5006,12203,20145,11095,,
Avg Points Affected,3550.1865,1110.9634039572754,2261.6133333333332,3045.34375,3138.8888888888887,5955.6,6460.5,8102.0,,
,,,,,,,,,,
Min Seconds,0.24956175300030736,0.24956175300030736,0.2706644760000927,0.2944067530006578,0.29577716100175167,0.42209686299975147,0.3906824740006414,0.7067752549992292,,
Max Seconds,3.728729555998143,3.728729555998143,3.3054877819995454,0.9732436009981029,0.9732436009981029,3.728729555998143,3.6457748229986464,2.686938859998918,,
Avg Seconds,1.0656658504890237,0.35003707997130057,0.41357196271980584,0.45362966599986976,0.4597900612774942,1.1658853828004794,0.9881026391667547,1.555277495333333,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:20:42,,,,,,,,,
,,,,,,,,,,
