VEHICLE_INTENSITY,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,9254,560,75,34,26,23,28,,Key
cyl Total,2000,1806,138,21,14,8,7,6,,bucket_0:         x >= -0.1%
spv Total,2000,1909,65,12,5,3,1,5,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1794,138,30,8,9,11,10,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1894,91,5,2,5,0,3,,bucket_3:   -2% > x >= -3%
dar Total,2000,1851,128,7,5,1,4,4,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,4,81,14,11,8,4,6,,
spv,,4,26,11,5,3,1,3,,
sal,,3,79,24,5,9,9,8,,
sq3,,8,45,4,1,4,0,1,,
dar,,1,77,3,4,0,3,1,,
cyl_spv,,7,11,0,0,0,0,0,,
cyl_sal,,1,18,4,2,0,2,0,,
cyl_sq3,,3,7,0,0,0,0,0,,
cyl_dar,,2,7,2,1,0,1,0,,
spv_sal,,3,7,0,0,0,0,0,,
spv_sq3,,3,2,0,0,0,0,0,,
spv_dar,,8,6,0,0,0,0,0,,
sal_sq3,,4,10,0,1,0,0,0,,
sal_dar,,1,10,1,0,0,0,0,,
sq3_dar,,6,11,1,0,1,0,0,,
cyl_spv_sal,,11,1,1,0,0,0,0,,
cyl_spv_sq3,,12,0,0,0,0,0,0,,
cyl_spv_dar,,11,2,0,0,0,0,0,,
cyl_sal_sq3,,3,3,0,0,0,0,0,,
cyl_sal_dar,,2,1,0,0,0,0,0,,
cyl_sq3_dar,,6,3,0,0,0,0,0,,
spv_sal_sq3,,12,1,0,0,0,0,0,,
spv_sal_dar,,6,2,0,0,0,0,1,,
spv_sq3_dar,,28,3,0,0,0,0,1,,
sal_sq3_dar,,14,2,0,0,0,0,1,,
cyl_spv_sal_sq3,,63,1,0,0,0,0,0,,
cyl_spv_sal_dar,,34,1,0,0,0,0,0,,
cyl_spv_sq3_dar,,95,1,0,0,0,0,0,,
cyl_sal_sq3_dar,,25,1,0,0,0,0,0,,
spv_sal_sq3_dar,,85,1,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,1527,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,85,25,20,17,10,6,,
spv,,0,25,11,6,5,3,3,,
sal,,0,95,39,21,22,15,8,,
sq3,,0,34,3,2,2,0,1,,
dar,,0,63,4,2,2,3,1,,
cyl_spv,,0,14,5,3,0,0,0,,
cyl_sal,,0,28,9,4,1,1,0,,
cyl_sq3,,0,6,0,0,0,0,0,,
cyl_dar,,0,12,3,1,0,1,0,,
spv_sal,,0,6,0,0,0,1,0,,
spv_sq3,,0,2,0,0,0,0,0,,
spv_dar,,0,3,1,0,0,0,0,,
sal_sq3,,0,11,1,1,1,0,0,,
sal_dar,,0,12,2,4,1,1,0,,
sq3_dar,,0,11,1,2,2,0,0,,
cyl_spv_sal,,0,6,5,2,1,0,0,,
cyl_spv_sq3,,0,1,1,0,0,0,0,,
cyl_spv_dar,,0,4,0,1,1,0,0,,
cyl_sal_sq3,,0,8,2,2,1,1,0,,
cyl_sal_dar,,0,3,1,0,0,0,0,,
cyl_sq3_dar,,0,3,0,0,0,0,0,,
spv_sal_sq3,,0,2,0,0,0,0,0,,
spv_sal_dar,,0,3,1,1,1,1,1,,
spv_sq3_dar,,0,1,0,0,0,1,1,,
sal_sq3_dar,,0,7,3,0,1,1,1,,
cyl_spv_sal_sq3,,0,1,0,0,0,0,0,,
cyl_spv_sal_dar,,0,8,1,0,0,0,0,,
cyl_spv_sq3_dar,,0,3,0,0,0,0,0,,
cyl_sal_sq3_dar,,0,4,3,2,0,0,0,,
spv_sal_sq3_dar,,0,4,0,1,1,0,0,,
cyl_spv_sal_sq3_dar,,2000,8,1,0,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,-0.31298277109318334,0.01061256993350884,-0.30631931425075387,-1.5078183561873366,-2.4003502430085235,-3.438670181562974,-4.604100646380166,-5.808479421675446,,
Avg jaccard % Loss cyl,-0.09480918799065953,0.007125252234357947,-0.2988496182447697,-1.6205370547798634,-2.350796820182756,-3.4044555238136183,-4.671436925313117,-5.727866316359122,,
Avg jaccard % Loss spv,-0.04582270995337433,0.0023980094723601198,-0.3939775337584725,-1.4387064014488329,-2.2755740865660368,-3.3544745420606668,-4.202966956889393,-5.541188492379165,,
Avg jaccard % Loss sal,-0.10923767371742783,0.015829785154681926,-0.32463514320594494,-1.4388808048087256,-2.508655750132857,-3.32424939413085,-4.573531980544015,-5.861156576144787,,
Avg jaccard % Loss sq3,-0.028572855751783845,0.010080055359918688,-0.26506171220306696,-1.7431466082494005,-2.666701635881222,-3.6851178852767723,0,-6.547331601793741,,
Avg jaccard % Loss dar,-0.03454034367993734,0.017975395530804728,-0.2794434640269057,-1.4154949372540429,-2.3840466148151482,-3.7625229303848595,-4.670609411669613,-5.5776807200082095,,
Min jaccard % Loss,-7.513499553376912,-0.09995452979490449,-0.9953123755176596,-1.9892871549247682,-2.9872023040694193,-3.9720716992605656,-4.990021222416274,-7.513499553376912,,
Min jaccard % Loss cyl,-6.333128958540185,-0.09717645084982296,-0.9132223046502519,-1.975373959771981,-2.8540555281913296,-3.7643526918551773,-4.961632046635279,-6.333128958540185,,
Min jaccard % Loss spv,-6.355971076673816,-0.09378991628497535,-0.9407285508653773,-1.9892871549247682,-2.5326985642994737,-3.4450237038106843,-4.202966956889393,-6.355971076673816,,
Min jaccard % Loss sal,-7.513499553376912,-0.09989558074881,-0.9953123755176596,-1.9220779659850362,-2.9431643726464394,-3.6210297201004438,-4.952275027133157,-7.513499553376912,,
Min jaccard % Loss sq3,-7.146434472758944,-0.09995452979490449,-0.8763820788470933,-1.9735954259232413,-2.894898045796379,-3.9720716992605656,-,-7.146434472758944,,
Min jaccard % Loss dar,-6.8163510144647885,-0.09793153394859755,-0.9817384716391597,-1.954112078670217,-2.9872023040694193,-3.7625229303848595,-4.990021222416274,-6.8163510144647885,,
Max jaccard % Loss,3.9841530231118973,3.9841530231118973,-0.1003105633010315,-1.0045240825862778,-2.0288754890677385,-3.153003986212682,-4.060207766352086,-5.011132270225993,,
Max jaccard % Loss cyl,2.1708427649710593,2.1708427649710593,-0.1013147004544468,-1.0045240825862778,-2.0288754890677385,-3.166319107149662,-4.350100836612647,-5.0541777539050425,,
Max jaccard % Loss spv,1.4722840236256696,1.4722840236256696,-0.10458935903180921,-1.1012099310387935,-2.0324394870850804,-3.2334029670685602,-4.202966956889393,-5.172219232520647,,
Max jaccard % Loss sal,3.9841530231118973,3.9841530231118973,-0.10110180565192084,-1.0175153684720883,-2.1941972113733996,-3.153003986212682,-4.060207766352086,-5.011132270225993,,
Max jaccard % Loss sq3,2.111926323920571,2.111926323920571,-0.10117613612871668,-1.3062087116235188,-2.4385052259660647,-3.3058347746610095,-,-6.062630312322104,,
Max jaccard % Loss dar,2.4238671572404558,2.4238671572404558,-0.1003105633010315,-1.0112033473245963,-2.097585335569685,-3.7625229303848595,-4.2916905704173,-5.132524582449443,,
,,,,,,,,,,
Min Points Affected,11,11,13,32,24,32,38,38,,
Max Points Affected,15935,15935,15935,11658,14846,11658,14846,14846,,
Avg Points Affected,5372.64,1017.6818673006268,1542.2625,1946.88,2984.1176470588234,2769.8076923076924,3044.478260869565,2659.6785714285716,,
,,,,,,,,,,
Min Seconds,0.26605167204979807,0.26605167204979807,0.2701132249785587,0.2759353319997899,0.2831068080267869,0.2803316150093451,0.2803316150093451,0.2803316150093451,,
Max Seconds,6.847042827983387,6.847042827983387,3.795406456978526,1.8783887039753608,6.847042827983387,1.8783887039753608,6.847042827983387,6.847042827983387,,
Avg Seconds,1.7945296678706655,0.35129534280049035,0.399581320935457,0.45594069151673466,0.733060294207569,0.5483644894624237,1.0205649032546005,0.6270222276445045,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,00:32:49,,,,,,,,,
,,,,,,,,,,
