VEHICLE_SCALE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,9761,221,11,1,4,2,0,,Key
cyl Total,2000,1948,46,2,1,2,1,0,,bucket_0:         x >= -0.1%
spv Total,2000,1916,79,5,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1962,35,2,0,1,0,0,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1969,28,1,0,1,1,0,,bucket_3:   -2% > x >= -3%
dar Total,2000,1966,33,1,0,0,0,0,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,0,25,2,1,2,1,0,,
spv,,1,59,5,0,0,0,0,,
sal,,0,18,2,0,0,0,0,,
sq3,,0,12,1,0,0,1,0,,
dar,,2,19,1,0,0,0,0,,
cyl_spv,,1,7,0,0,0,0,0,,
cyl_sal,,1,3,0,0,0,0,0,,
cyl_sq3,,0,2,0,0,0,0,0,,
cyl_dar,,1,2,0,0,0,0,0,,
spv_sal,,0,2,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,1,3,0,0,0,0,0,,
sal_sq3,,2,4,0,0,1,0,0,,
sal_dar,,1,1,0,0,0,0,0,,
sq3_dar,,1,3,0,0,0,0,0,,
cyl_spv_sal,,3,1,0,0,0,0,0,,
cyl_spv_sq3,,1,1,0,0,0,0,0,,
cyl_spv_dar,,5,2,0,0,0,0,0,,
cyl_sal_sq3,,1,1,0,0,0,0,0,,
cyl_sal_dar,,1,0,0,0,0,0,0,,
cyl_sq3_dar,,3,0,0,0,0,0,0,,
spv_sal_sq3,,2,2,0,0,0,0,0,,
spv_sal_dar,,2,0,0,0,0,0,0,,
spv_sq3_dar,,3,0,0,0,0,0,0,,
sal_sq3_dar,,8,1,0,0,0,0,0,,
cyl_spv_sal_sq3,,19,0,0,0,0,0,0,,
cyl_spv_sal_dar,,9,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,16,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,60,0,0,0,0,0,0,,
spv_sal_sq3_dar,,26,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,1827,2,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,26,4,2,1,1,0,,
spv,,0,60,4,0,0,0,0,,
sal,,0,16,2,0,0,0,0,,
sq3,,0,9,1,0,0,1,0,,
dar,,0,19,1,0,0,0,0,,
cyl_spv,,0,8,0,0,0,0,0,,
cyl_sal,,0,3,0,0,0,0,0,,
cyl_sq3,,0,2,0,1,1,0,0,,
cyl_dar,,0,2,0,0,0,0,0,,
spv_sal,,0,3,0,0,0,0,0,,
spv_sq3,,0,1,0,0,0,0,0,,
spv_dar,,0,1,0,0,0,0,0,,
sal_sq3,,0,5,0,0,0,0,0,,
sal_dar,,0,1,0,0,0,0,0,,
sq3_dar,,0,3,0,0,0,0,0,,
cyl_spv_sal,,0,1,0,0,0,0,0,,
cyl_spv_sq3,,0,1,1,0,0,0,0,,
cyl_spv_dar,,0,2,0,0,0,0,0,,
cyl_sal_sq3,,0,1,1,1,1,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3,,0,1,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,1,0,0,0,0,0,,
sal_sq3_dar,,0,1,0,0,0,0,0,,
cyl_spv_sal_sq3,,0,2,0,0,0,0,0,,
cyl_spv_sal_dar,,0,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,0,1,0,0,0,0,0,,
spv_sal_sq3_dar,,0,0,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,3,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,0.035927859355684134,0.01728738733552083,-0.24653733012246287,-1.5463560480954308,-2.3362427750860726,-3.6718643687674217,-4.184051167190517,0,,
Avg accuracy % Loss cyl,-0.009011689740622544,0.00565155759238938,-0.2623243206613086,-1.4138912521352576,-2.3362427750860726,-3.7559696263033073,-4.289730388836199,0,,
Avg accuracy % Loss spv,-0.011506290533422905,0.001682459261575165,-0.2344376102514711,-1.5431203604315225,0,0,0,0,,
Avg accuracy % Loss sal,0.02738804269760563,0.03612787651569284,-0.25621504581188476,-1.6923545870086043,0,-3.7545725511448302,0,0,,
Avg accuracy % Loss sq3,0.02635630375857768,0.03503702637264028,-0.2602441854432817,-1.48914260129841,0,-3.420945671318243,-4.078371945544834,0,,
Avg accuracy % Loss dar,0.0027014931735463384,0.007445861137003419,-0.23160291518030476,-1.5926804473059941,0,0,0,0,,
Min accuracy % Loss,-4.289730388836199,-0.09927172924678596,-0.9968475760415818,-1.826241294496056,-2.3362427750860726,-3.9252450234370295,-4.289730388836199,-,,
Min accuracy % Loss cyl,-4.289730388836199,-0.09923473036761443,-0.9785851840219517,-1.6961346984006198,-2.3362427750860726,-3.9252450234370295,-4.289730388836199,-,,
Min accuracy % Loss spv,-1.826241294496056,-0.09696840534925144,-0.8640682879690775,-1.826241294496056,-,-,-,-,,
Min accuracy % Loss sal,-3.7545725511448302,-0.0940209631925315,-0.7368683985155555,-1.7643247553702168,-,-3.7545725511448302,-,-,,
Min accuracy % Loss sq3,-4.078371945544834,-0.09429136030334462,-0.9566757932034209,-1.48914260129841,-,-3.420945671318243,-4.078371945544834,-,,
Min accuracy % Loss dar,-1.5926804473059941,-0.09927172924678596,-0.9968475760415818,-1.5926804473059941,-,-,-,-,,
Max accuracy % Loss,1.8011347416500123,1.8011347416500123,-0.10112732095490795,-1.1316478058698953,-2.3362427750860726,-3.420945671318243,-4.078371945544834,-,,
Max accuracy % Loss cyl,1.7691645280380586,1.7691645280380586,-0.10112732095490795,-1.1316478058698953,-2.3362427750860726,-3.5866942291695847,-4.289730388836199,-,,
Max accuracy % Loss spv,0.9134587442121811,0.9134587442121811,-0.10169566466959878,-1.166433210238127,-,-,-,-,,
Max accuracy % Loss sal,0.5313049145704518,0.5313049145704518,-0.10269228932160424,-1.6203844186469918,-,-3.7545725511448302,-,-,,
Max accuracy % Loss sq3,0.7843439232597005,0.7843439232597005,-0.10797258594343884,-1.48914260129841,-,-3.420945671318243,-4.078371945544834,-,,
Max accuracy % Loss dar,1.8011347416500123,1.8011347416500123,-0.10235414534288667,-1.5926804473059941,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,22,22,68,1394,1544,3177,5307,-,,
Max Points Affected,9791,9791,9528,9528,1544,8183,8183,-,,
Avg Points Affected,9291.085,1832.349759245979,2770.7285067873304,4296.818181818182,1544.0,5493.5,6745.0,0,,
,,,,,,,,,,
Min Seconds,0.47409304801840335,0.47409304801840335,0.49855448998278007,0.7050692010088824,1.676531638018787,1.4254714929847978,1.4254714929847978,-,,
Max Seconds,176.30830126500223,176.30830126500223,176.30830126500223,79.84616944403388,1.676531638018787,21.498997169022914,2.3247160830069333,-,,
Avg Seconds,31.32562878589946,6.118443676087054,12.370748676113918,14.826546967272986,1.676531638018787,6.668664059499861,1.8750937879958656,0,,
,,,,,,,,,,
Duplicates,57,,,,,,,,,
Duplicates Percent,2.85,,,,,,,,,
,,,,,,,,,,
Time,03:41:30,,,,,,,,,
,,,,,,,,,,
