VEHICLE_SCALE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5523,379,36,18,20,15,9,,Key
cyl Total,2000,1838,127,10,6,11,5,3,,bucket_0:         x >= -0.1%
spv Total,2000,1797,155,20,7,7,9,5,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1888,97,6,5,2,1,1,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,19,97,8,6,11,5,2,,bucket_5:   -4% > x >= -5%
spv,,10,116,18,5,7,8,4,,bucket_6:   -5% > x
sal,,30,66,6,3,2,0,1,,
cyl_spv,,62,15,2,0,0,0,1,,
cyl_sal,,133,7,0,0,0,0,0,,
spv_sal,,101,16,0,2,0,1,0,,
cyl_spv_sal,,1624,8,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,101,17,14,13,5,2,,
spv,,0,133,30,15,13,10,4,,
sal,,0,62,7,2,2,1,1,,
cyl_spv,,0,30,12,8,6,3,1,,
cyl_sal,,0,10,2,2,0,0,0,,
spv_sal,,0,19,2,4,2,1,0,,
cyl_spv_sal,,2000,21,4,1,0,0,0,,
,,,,,,,,,,
Avg jaccard % Loss,-0.08140679391515757,0.041004575542221165,-0.2833891432957645,-1.4152081268022068,-2.497660685274182,-3.4146976136161244,-4.5232103129451815,-5.5366534860658545,,
Avg jaccard % Loss cyl,-0.047380649457759376,0.023163422639789964,-0.25866712663229785,-1.5355623548437594,-2.3011968909256484,-3.4028605781551886,-4.421775015826317,-5.260599437440329,,
Avg jaccard % Loss spv,-0.07299879682327663,0.0219837459800352,-0.3005512727184758,-1.368377235725993,-2.563981491360344,-3.3671332940745335,-4.584546858210004,-5.7541335929717405,,
Avg jaccard % Loss sal,0.038972652365878414,0.07647728198179528,-0.288333123251847,-1.370720716986998,-2.640568109971797,-3.6462764270468435,-4.47835789115611,-5.277415097412996,,
Min jaccard % Loss,-6.3893726198949565,-0.09981999555351839,-0.9920440344171055,-1.9764670978513976,-2.892147331074063,-3.8591826675550944,-4.958807518241947,-6.3893726198949565,,
Min jaccard % Loss cyl,-5.364670182241504,-0.09981999555351839,-0.9920440344171055,-1.8686481715971315,-2.5109794586453518,-3.8591826675550944,-4.822821429317969,-5.364670182241504,,
Min jaccard % Loss spv,-6.3893726198949565,-0.09969507371743735,-0.9698120492669771,-1.9764670978513976,-2.7974473646783125,-3.7731651708985456,-4.958807518241947,-6.3893726198949565,,
Min jaccard % Loss sal,-5.277415097412996,-0.09903257675764054,-0.8963371381939034,-1.7833632644564057,-2.892147331074063,-3.849698430975168,-4.47835789115611,-5.277415097412996,,
Max jaccard % Loss,3.2239421859742934,3.2239421859742934,-0.10065548446162587,-1.007781375342609,-2.0216145967084707,-3.0313942130296923,-4.08887749856367,-5.131424523359318,,
Max jaccard % Loss cyl,1.9502808174527597,1.9502808174527597,-0.10065548446162587,-1.0836162396038518,-2.1048889382641933,-3.0313942130296923,-4.08887749856367,-5.1628598675303286,,
Max jaccard % Loss spv,3.2239421859742934,3.2239421859742934,-0.10421531675547935,-1.007781375342609,-2.0216145967084707,-3.032979455418028,-4.106802078828464,-5.131424523359318,,
Max jaccard % Loss sal,3.1054623111282984,3.1054623111282984,-0.10196550866822252,-1.164229887171342,-2.47381550922241,-3.4428544231185185,-4.47835789115611,-5.277415097412996,,
,,,,,,,,,,
Min Points Affected,24,24,29,36,37,30,35,68,,
Max Points Affected,11350,11350,9135,7514,9157,9716,5862,3219,,
Avg Points Affected,5782.9155,1900.4731124388918,2434.467018469657,1927.3055555555557,1613.388888888889,963.9,1298.6666666666667,1074.7777777777778,,
,,,,,,,,,,
Min Seconds,0.4755510810064152,0.4755510810064152,0.5052800550038228,0.5209099100029562,0.5161294619974797,0.5137253180000698,0.5202294949995121,0.5245568440004718,,
Max Seconds,159.18193903299834,159.18193903299834,159.18193903299834,49.71766972900514,58.953994180003065,22.454589251996367,16.258342239998456,6.809391741997388,,
Avg Seconds,18.96442459669211,6.086374614613821,10.34277546020082,5.8396201652780695,4.660330681721259,2.287047015150165,2.610892902466003,1.6526317105534771,,
,,,,,,,,,,
Duplicates,60,,,,,,,,,
Duplicates Percent,3.0,,,,,,,,,
,,,,,,,,,,
Time,03:41:23,,,,,,,,,
,,,,,,,,,,
