VEHICLE_INTENSITY,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,,
Total,30,28,2,0,0,0,0,,Key
cyl Total,10,10,0,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,10,9,1,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,10,9,1,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,bucket_3:   -2% > x >= -3%
Avg jaccard % Loss,-0.059752504280562446,-0.002865281314011481,-0.2586485830066515,0,0,0,0,,bucket_4:   -3% > x >= -5%
Avg jaccard % Loss cyl,0.0054058729260686444,0.0054058729260686444,0,0,0,0,0,,bucket_5:   -5% > x
Avg jaccard % Loss spv,-0.01412239312959196,-0.0034538762589791322,-0.1101390449651074,0,0,0,0,,
Avg jaccard % Loss sal,-0.05103598407703913,-0.011466857746910634,-0.4071581210481956,0,0,0,0,,
Min jaccard % Loss,-0.4071581210481956,-0.03641544297595667,-0.4071581210481956,-,-,-,-,,
Min jaccard % Loss cyl,-0.019514741925619195,-0.019514741925619195,-,-,-,-,-,,
Min jaccard % Loss spv,-0.1101390449651074,-0.01674250796786514,-0.1101390449651074,-,-,-,-,,
Min jaccard % Loss sal,-0.4071581210481956,-0.03641544297595667,-0.4071581210481956,-,-,-,-,,
Max jaccard % Loss,0.06041010093150723,0.06041010093150723,-0.1101390449651074,-,-,-,-,,
Max jaccard % Loss cyl,0.06041010093150723,0.06041010093150723,-,-,-,-,-,,
Max jaccard % Loss spv,0.005154105891957972,0.005154105891957972,-0.1101390449651074,-,-,-,-,,
Max jaccard % Loss sal,0.011493268790963018,0.011493268790963018,-0.4071581210481956,-,-,-,-,,
,,,,,,,,,
cyl,,0,0,0,0,0,0,,
spv,,0,1,0,0,0,0,,
sal,,0,1,0,0,0,0,,
cyl_spv,,1,0,0,0,0,0,,
cyl_sal,,1,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,,
cyl_spv_sal,,8,0,0,0,0,0,,
